pro_com_t,cap
004053,12020
004054,12070
004055,12060
004056,12053
004057,12050
004058,12030
004059,12030
004060,12020
004061,12044
004062,12040
004063,12050
004064,12010
004065,12040
004066,12073
004067,12062
004068,12013
004069,12060
004070,12050
004071,12060
004072,12040
004073,12074
004074,12054
004075,12024
004076,12050
004077,12030
004078,12100
004079,12014
004080,12055
004081,12063
004082,12025
004083,12020
004084,12010
004085,12030
004086,12060
004087,12030
004088,12050
004089,12045
004090,12082
004091,12083
004092,12020
004093,12010
004094,12030
004095,12075
004096,12040
004097,12070
004098,12070
004099,12040
004100,12060
004101,12050
004102,12060
004103,12020
004104,12030
004105,12064
004106,12050
004107,12060
004108,12076
004109,12070
004110,12015
004111,12070
004112,12020
004113,12050
004114,12060
004115,12056
004116,12030
004117,12030
004118,12040
004119,12020
004120,12060
004121,12030
004122,12020
004123,12010
004124,12070
004125,12070
004126,12080
004127,12080
004128,12030
004129,12060
004130,12084
004131,12077
004132,12065
004133,12046
004134,12080
004135,12040
004136,12040
004137,12050
004138,12025
004139,12020
004140,12040
004141,12070
004142,12066
004143,12033
004144,12040
004145,12060
004146,12030
004147,12068
004148,12052
004149,12050
004150,12050
004151,12060
004152,12060
004153,12070
004154,12030
004155,12078
004156,12030
004157,12034
004158,12030
004159,12087
004160,12070
004161,12070
004162,12070
004163,12016
004164,12070
004165,12080
004166,12026
004167,12010
004168,12040
004169,12060
004170,12060
004171,12030
004172,12020
004173,12027
004174,12028
004175,12070
004176,12040
004177,12070
004178,12077
004179,12035
004180,12036
004181,12030
004182,12010
004183,12010
004184,12073
004185,12017
004186,12080
004187,12020
004188,12060
004189,12047
004190,12088
004191,12010
004192,12018
004193,12050
004194,12060
004195,12050
004196,12050
004197,12020
004198,12030
004199,12070
004200,12070
004201,12079
004202,12040
004203,12037
004204,12010
004205,12020
004206,12050
004207,12029
004208,12040
004209,12030
004210,12080
004211,12040
004212,12069
004213,12058
004214,12040
004215,12038
004216,12070
004217,12030
004218,12050
004219,12050
004220,12050
004221,12060
004222,12048
004223,12040
004224,12020
004225,12020
004226,12050
004227,12080
004228,12030
004229,12070
004230,12050
004231,12050
004232,12049
004233,12010
004234,12020
004235,12010
004237,12020
004238,12060
004239,12019
004240,12039
004241,12040
004242,12080
004243,12010
004244,12020
004245,12089
004246,12030
004247,12020
004248,12010
004249,12070
004250,12020
005001,14041
005002,14022
005003,14010
005004,14020
005005,14100
005006,14030
005007,14011
005008,14040
005009,14020
005010,14046
005011,14051
005012,14021
005013,14042
005014,14031
005015,14052
005016,14020
005017,14053
005018,14010
005019,14014
005020,14032
005021,14050
005022,14054
005023,14030
005024,14040
005025,14033
005026,14013
005027,14040
005028,14034
005029,14043
005030,14040
005031,14022
005032,14044
005033,14010
005034,14010
005035,14020
005036,14030
005037,14050
005038,14025
005039,14020
005040,14010
005041,14054
005042,14023
005044,14020
005045,14013
005046,14020
005047,14010
005048,14040
005049,14020
005050,14055
005051,14026
005052,14010
005053,14012
005054,14044
005055,14030
005056,14031
005057,14035
005058,14045
005059,14057
005060,14051
005061,14040
005062,14018
005063,14050
005064,14050
005065,14046
005066,14047
005067,14013
005068,14058
005069,14036
005070,14024
005071,14040
005072,14040
005073,14014
005074,14048
005075,14025
005076,14048
005077,14030
005079,14023
005080,14049
005081,14050
005082,14020
005083,14030
005084,14020
005085,14020
005086,14026
005087,14037
005088,14040
005089,14030
005090,14010
005091,14018
005092,14020
005093,14030
005094,14050
005095,14042
005096,14030
005097,14015
005098,14059
005099,14010
005100,14050
005101,14010
005103,14030
005104,14050
005105,14058
005106,14020
005107,14020
005108,14016
005109,14039
005110,14023
005111,14049
005112,14017
005113,14059
005114,14010
005115,14030
005116,14040
005117,14018
005118,14019
005119,14020
005120,14040
005121,14026
006001,15011
006002,15060
006003,15121
006004,15021
006005,15010
006007,15041
006008,15050
006009,15061
006010,15050
006011,15031
006012,15060
006013,15042
006014,15070
006015,15022
006016,15050
006017,15012
006018,15060
006019,15013
006020,15032
006021,15062
006022,15060
006023,15040
006024,15050
006025,15060
006026,15030
006027,15020
006028,15060
006029,15060
006030,15050
006031,15026
006032,15051
006033,15071
006034,15060
006035,15060
006036,15015
006037,15072
006038,15070
006039,15033
006040,15052
006041,15050
006043,15016
006044,15070
006045,15051
006046,15050
006047,15073
006048,15010
006049,15060
006050,15020
006051,15040
006052,15017
006053,15053
006054,15070
006055,15010
006056,15034
006057,15020
006058,15050
006059,15020
006060,15030
006061,15030
006062,15050
006063,15010
006065,15010
006066,15056
006067,15054
006068,15023
006069,15060
006070,15060
006071,15010
006072,15035
006073,15040
006074,15064
006075,15065
006076,15043
006077,15020
006078,15010
006079,15050
006081,15066
006082,15036
006083,15056
006084,15010
006085,15060
006086,15050
006087,15050
006088,15070
006090,15015
006091,15024
006092,15010
006093,15010
006094,15040
006095,15074
006096,15050
006097,15020
006098,15050
006099,15020
006100,15060
006101,15059
006102,15050
006103,15060
006104,15010
006105,15040
006106,15010
006107,15050
006108,15050
006109,15025
006110,15010
006111,15075
006112,15010
006113,15020
006114,15067
006115,15040
006116,15020
006117,15020
006118,15030
006119,15010
006120,15038
006121,15076
006122,15026
006123,15039
006124,15050
006125,15010
006126,15060
006127,15060
006128,15040
006129,15040
006131,15040
006132,15055
006133,15027
006134,15010
006135,15020
006136,15010
006137,15050
006138,15068
006139,15010
006140,15077
006141,15044
006142,15028
006143,15010
006144,15010
006145,15040
006146,15060
006147,15078
006148,15060
006149,15030
006150,15030
006151,15045
006152,15060
006153,15020
006154,15046
006155,15056
006156,15050
006157,15060
006158,15050
006159,15020
006160,15069
006161,15079
006162,15060
006163,15029
006164,15020
006165,15018
006166,15050
006167,15060
006168,15019
006169,15070
006170,15060
006171,15030
006172,15010
006173,15040
006174,15057
006175,15030
006176,15070
006177,15048
006178,15040
006179,15049
006180,15060
006181,15058
006182,15020
006183,15050
006184,15020
006185,15030
006186,15050
006187,15010
006188,15059
006189,15050
006190,15060
006191,15063
006192,15047
006193,15040
007001,11010
007002,11020
007003,11100
007004,11020
007005,11011
007006,11010
007007,11020
007008,11010
007009,11020
007010,11010
007011,11020
007012,11022
007013,11020
007014,11020
007015,11023
007016,11020
007017,11020
007018,11020
007019,11020
007020,11024
007021,11012
007022,11013
007023,11020
007024,11010
007025,11020
007026,11014
007027,11020
007028,11020
007029,11020
007030,11010
007031,11020
007032,11020
007033,11025
007034,11020
007035,11010
007036,11020
007037,11020
007038,11020
007039,11020
007040,11015
007041,11016
007042,11020
007043,11020
007044,11017
007045,11020
007046,11010
007047,11010
007048,11020
007049,11020
007050,11020
007051,11024
007052,11026
007053,11010
007054,11020
007055,11010
007056,11010
007057,11010
007058,11020
007059,11023
007060,11020
007061,11010
007062,11014
007063,11010
007064,11010
007065,11027
007066,11010
007067,11020
007068,11010
007069,11010
007070,11010
007071,11028
007072,11020
007073,11029
007074,11018
008001,18030
008002,18035
008003,18020
008004,18026
008005,18020
008006,18010
008007,18031
008008,18012
008009,18020
008010,18021
008011,18033
008012,18020
008014,18011
008015,18030
008016,18034
008017,18010
008018,18022
008019,18027
008020,18027
008021,18017
008022,18017
008023,18023
008024,18017
008025,18013
008026,18013
008027,18013
008028,18013
008029,18035
008030,18020
008031,18100
008032,18035
008033,18020
008034,18025
008035,18010
008037,18025
008038,18030
008039,18014
008040,18032
008041,18010
008042,18026
008043,18037
008044,18015
008045,18027
008046,18024
008047,18020
008048,18020
008049,18026
008050,18015
008051,18030
008052,18016
008053,18036
008054,18017
008055,18038
008056,18010
008057,18012
008058,18036
008059,18018
008060,18010
008061,18010
008062,18012
008063,18019
008064,18020
008065,18039
008066,18026
008067,18010
008068,18010
009001,17021
009002,17031
009003,17012
009004,17011
009005,17041
009006,17051
009007,17032
009008,17020
009009,17057
009010,17028
009011,17054
009012,17052
009013,17022
009014,17045
009015,17014
009016,17020
009017,17057
009018,17043
009019,17033
009020,17030
009021,17034
009022,17015
009023,17056
009024,17023
009025,17035
009026,17017
009027,17058
009028,17030
009029,17024
009030,17033
009031,17027
009032,17010
009033,17053
009034,17025
009035,17020
009036,17045
009037,12071
009038,17017
009039,17040
009040,17013
009041,17030
009042,17026
009043,17037
009044,17024
009045,17037
009046,17010
009047,17043
009048,17058
009049,17027
009050,17043
009051,17042
009052,17047
009053,17020
009054,17017
009055,17046
009056,17100
009057,17028
009058,17044
009059,17020
009060,17020
009061,17055
009062,17020
009063,17048
009064,17047
009065,17019
009066,17032
009067,17028
009068,17038
009069,17039
010001,16011
010002,16030
010003,16021
010004,16031
010005,16041
010006,16012
010007,16032
010008,16013
010009,16014
010010,16042
010011,16030
010012,16015
010013,16030
010014,16014
010015,16043
010016,16044
010017,16016
010018,16030
010019,16040
010020,16010
010021,16022
010022,16020
010023,16040
010024,16023
010025,16124
010026,16020
010027,16017
010028,16033
010029,16040
010030,16045
010031,16024
010032,16010
010033,16010
010034,16046
010035,16018
010036,16047
010037,16030
010038,16025
010039,16026
010040,16040
010041,16040
010042,16040
010043,16030
010044,16034
010045,16027
010046,16035
010047,16036
010048,16048
010049,16019
010050,16025
010051,16010
010052,16028
010053,16040
010054,16038
010055,16010
010056,16049
010057,16010
010058,16010
010059,16039
010060,16030
010061,16010
010062,16029
010063,16030
010064,16030
010065,16010
010066,16010
010067,16030
011001,19031
011002,19021
011003,19020
011004,19020
011005,19011
011006,19020
011007,19020
011008,19020
011009,19012
011010,19020
011011,19033
011012,19013
011013,19020
011014,19014
011015,19124
011016,19032
011017,19015
011018,19010
011019,19016
011020,19034
011021,19020
011022,19025
011023,19020
011024,19017
011025,19020
011026,19037
011027,19038
011028,19020
011029,19028
011030,19018
011031,19020
011032,19020
012001,21010
012002,21041
012003,21021
012004,21051
012005,21010
012006,21022
012007,21030
012008,21020
012009,21020
012010,21039
012011,21050
012012,21010
012013,21023
012014,21024
012015,21050
012016,21020
012017,21020
012018,21020
012019,21030
012020,21010
012021,21030
012022,21030
012023,21020
012024,21050
012025,21020
012026,21052
012027,21031
012029,21050
012030,21050
012031,21032
012032,21010
012033,21040
012034,21042
012035,21040
012036,21020
012037,21030
012038,21020
012039,21011
012040,21012
012041,21030
012042,21053
012043,21030
012044,21050
012045,21010
012046,21043
012047,21040
012048,21044
012049,21020
012050,21040
012051,21033
012052,21050
012053,21034
