pro_com_t,lat,long
001219,45.069715,7.517676
001220,45.200049,7.568917
001221,45.308854,7.575863
001222,44.924691,7.331324
001223,45.388657,7.86652
001224,45.499737,7.546855
001225,45.246854,7.963125
001226,44.792136,7.199017
001227,45.001413,7.129432
001228,45.067945,7.465117
001229,45.137946,7.38483
001230,45.468258,7.754616
001231,45.358526,7.689238
001232,45.07204,6.883205
001233,45.458058,7.851118
001234,44.934635,7.034467
001235,45.450554,7.845243
001236,45.227052,7.785021
001237,45.247826,7.610843
001238,45.382254,7.621015
001239,45.135444,7.213011
001240,45.226467,7.657164
001241,45.026144,7.448118
001242,44.89855,7.241175
001243,45.142748,7.535817
001244,45.334155,7.796819
001245,45.127982,7.177985
001246,45.315154,7.80912
001247,45.39435,7.816559
001248,45.216676,7.631241
001249,45.104412,7.761996
001250,44.90654,7.310917
001251,45.350754,7.670316
001252,45.146651,7.849324
001253,45.167552,7.957226
001254,44.867222,7.298167
001255,45.099445,7.362315
001256,45.107044,7.273613
001257,44.949111,7.771811
001258,44.940736,6.859007
001259,45.027027,6.858346
001260,44.891741,7.492521
001261,45.384456,7.841119
001262,45.09325,7.880426
001263,44.958453,6.878686
001264,45.407758,7.993522
001265,45.137335,7.771015
001266,45.54976,7.832216
001267,45.413854,7.543412
001268,45.422696,7.768436
001269,45.381457,7.88572
001270,45.137212,7.053979
001271,45.543965,7.822041
001272,45.067755,7.682489
001273,45.215422,7.974503
001274,45.392056,7.759818
001275,44.820768,7.223715
001276,45.039044,7.421817
001278,45.508458,7.749415
001279,45.270612,7.428858
001280,44.983646,7.745225
001281,45.048941,7.028508
001282,45.233197,7.217735
001283,45.102344,7.289413
001284,45.155147,7.445015
001285,45.076144,7.340715
001286,45.224745,7.495566
001287,45.370616,7.656916
001288,45.521481,7.549355
001289,45.209941,7.488606
001290,45.279952,7.620217
001291,45.15491,7.01257
001292,45.134811,7.626866
001293,45.190053,7.968226
001294,45.156707,8.092761
001295,45.385757,7.954822
001296,45.381019,7.817828
001298,45.430657,7.757417
001299,44.843067,7.494438
001300,44.778939,7.500424
001301,45.242575,7.554506
001302,45.045145,7.468418
001303,45.114646,7.383515
001304,45.310056,7.976624
001305,45.111389,7.224725
001306,44.807903,7.15758
001307,44.919056,7.250286
001308,44.918612,7.744347
001309,44.94839,7.633929
001310,44.864541,7.570123
001311,45.335589,7.944818
001312,45.442344,7.768145
001313,45.23916,7.37584
001314,45.201451,7.778222
001315,44.956464,7.511052
001316,45.147801,7.706099
001317,45.461125,7.79283
001318,45.497263,7.741327
002002,45.851211,7.937177
002003,45.425307,8.380994
002004,45.365158,8.072925
002006,45.494964,8.385329
002007,45.261578,8.408501
002008,45.818849,8.138102
002009,45.455262,8.280128
002011,45.308457,8.122527
002014,45.830189,8.112881
002015,45.349435,8.053102
002016,45.716668,8.276857
002017,45.357862,8.463033
002021,45.480862,8.267128
002025,45.798953,8.032153
002029,45.90875,8.049537
002030,45.221263,8.506924
002031,45.357613,8.388842
002032,45.40936,8.199027
002033,45.400961,8.293529
002035,45.497859,8.326139
002041,45.882966,8.162347
002042,45.308356,8.021025
002043,45.80819,8.294116
002045,45.396683,8.348284
002047,45.238158,8.368134
002048,45.848385,8.20269
002049,45.190454,8.099929
002052,45.330659,8.210828
002054,45.268822,8.356728
002057,45.889425,8.15868
002058,45.193464,8.191925
002059,45.429262,8.291928
002061,45.614242,8.371138
002062,45.528823,8.386128
002065,45.450663,8.38303
002066,45.701868,8.249322
002067,45.231855,8.101628
002068,45.557466,8.384128
002070,45.28553,8.346124
002071,45.281912,8.080548
002072,45.625643,8.321774
002078,45.816669,8.030315
002079,45.332357,7.995524
002082,45.193343,8.520934
002088,45.36346,8.30983
002089,45.402755,8.380327
002090,45.186255,8.232632
002091,45.236394,8.417401
002093,45.261959,8.482279
002096,45.769944,8.08108
002097,45.770751,8.051076
002102,45.713604,8.23059
002104,45.282293,8.478118
002107,45.757869,8.265721
002108,45.379661,8.361731
002110,45.768473,8.013068
002113,45.907567,8.182504
002115,45.212906,8.417704
002116,45.608019,8.288012
002118,45.253126,8.27781
002121,45.833501,8.125529
002122,45.538765,8.317527
002126,45.325559,8.26423
002127,45.309859,8.328931
002128,45.237554,8.011026
002131,45.350031,8.248779
002133,45.366259,8.172627
002134,45.792678,8.113367
002135,45.772756,8.094058
002137,45.685568,8.310924
002142,45.230246,8.453732
002147,45.235757,8.325333
002148,45.19394,8.296987
002150,45.341258,8.173027
002152,45.728369,8.329923
002156,45.813731,8.259211
002158,45.555383,8.346284
002163,45.437362,8.337329
002164,45.387762,8.432632
002166,45.832585,8.194602
002170,45.872658,8.038157
002171,45.760606,8.309276
003001,45.675837,8.559812
003002,45.788656,8.441311
003006,45.822457,8.439199
003008,45.759837,8.560408
003012,45.57545,8.51395
003016,45.568768,8.643233
003018,45.452664,8.462432
003019,45.678969,8.408726
003021,45.667273,8.534066
003022,45.762786,8.445175
003023,45.319663,8.699539
003024,45.698911,8.462367
003025,45.689268,8.60183
003026,45.731871,8.456726
003027,45.542466,8.47973
003030,45.516976,8.587782
003032,45.499674,8.660451
003036,45.534635,8.418519
003037,45.438064,8.466532
003039,45.488765,8.491931
003040,45.102415,8.248872
003041,45.400198,8.463421
003042,45.513366,8.486931
003043,45.712169,8.642977
003044,45.602168,8.50213
003045,45.613168,8.486129
003047,45.663368,8.394526
003049,45.410966,8.780039
003051,45.792573,8.500326
003052,45.714871,8.564029
003055,45.647072,8.50815
003058,45.674869,8.459727
003060,45.66237,8.601631
003062,45.736272,8.566628
003065,45.555159,8.458941
003066,45.643469,8.480828
003068,45.478267,8.696903
003069,45.388764,8.661237
003070,45.72877,8.425325
003073,45.598346,8.420904
003076,45.746457,8.436067
003077,45.371139,8.587767
003079,45.684099,8.337853
003082,45.756972,8.488326
003083,45.496357,8.42308
003084,45.829644,8.564857
003088,45.689369,8.422326
003090,45.495665,8.459831
003091,45.62987,8.631632
003093,45.824206,8.540942
003095,45.788773,8.538827
003097,45.618687,8.605518
003098,45.801972,8.429724
003100,45.574889,8.556139
003103,45.803573,8.527126
003104,45.371483,8.654978
003106,45.58425,8.545997
003108,45.597231,8.637068
003109,45.748872,8.527127
003112,45.798081,8.406951
003114,45.750241,8.517599
003115,45.801625,8.384779
003116,45.816693,8.406617
003119,45.792298,8.508975
003120,45.759039,8.383426
003121,45.65083,8.632293
003122,45.646849,8.372939
003129,45.460364,8.435731
003130,45.631067,8.388627
003131,45.462553,8.720777
003133,45.773453,8.390395
003134,45.438273,8.424073
003135,45.455881,8.54419
003138,45.520665,8.44103
003139,45.577467,8.437329
003140,45.741737,8.409703
003141,45.398565,8.720338
003143,45.633369,8.54283
003144,45.376564,8.695238
003146,45.357564,8.715939
003149,45.431965,8.735293
003153,45.603513,8.553431
003154,45.665904,8.632693
003158,45.350871,8.668921
003159,45.477564,8.462731
003164,45.322961,8.519135
003166,45.702046,8.52983
004001,44.474627,6.990918
004002,44.313925,7.219626
004003,44.700724,8.035779
004004,44.595911,8.064064
004005,44.108946,8.003074
004006,44.374629,6.954209
004007,44.58274,8.11084
004008,44.301333,8.043144
004009,44.760336,7.31392
004010,44.759519,7.914349
004011,44.725447,8.080696
004012,44.727536,7.321021
004013,44.610841,7.942845
004014,44.441935,7.894438
004015,44.319833,8.010943
004016,44.364835,7.646733
004017,44.582338,6.990826
004018,44.493036,7.974639
004019,44.543336,7.828335
004020,44.629841,8.104139
004021,44.54784,8.183142
004022,44.385329,7.436329
004023,44.503537,8.01754
004024,44.620341,8.13224
004025,44.328652,7.487456
004026,44.602359,8.147252
004027,44.529338,8.05094
004028,44.329626,7.551894
004029,44.697678,7.854271
004030,44.395676,7.876004
004031,44.14893,7.73051
004032,44.600734,7.405925
004033,44.569837,7.361615
004034,44.518132,7.474328
004035,44.424036,8.141444
004037,44.798544,7.997334
004038,44.455827,7.082721
004039,44.118902,7.950257
004040,44.416989,7.43259
004041,44.782241,7.739429
004042,44.744438,7.477624
004043,44.481035,7.874437
004044,44.477654,7.287771
004045,44.819641,7.624625
004046,44.755443,8.031335
004047,44.589638,7.07032
004049,44.441789,7.638649
004050,44.494338,8.186743
004051,44.774951,8.029984
004052,44.427835,7.98124
004053,44.409323,7.207187
004054,44.353635,8.128945
004055,44.623699,7.977453
004056,44.725344,8.190139
004057,44.617841,8.182441
004058,44.740139,7.663928
004059,44.709839,7.686329
004060,44.482936,7.179706
004061,44.501533,7.58783
004062,44.799742,7.82243
004063,44.574839,8.09794
004064,44.380929,7.47123
004065,44.635438,7.791932
004066,44.387276,8.033048
004067,44.652219,7.858015
004068,44.32643,7.675436
004069,44.436535,7.926539
004070,44.563139,8.030439
004071,44.481939,7.912079
004072,44.735937,7.959851
004073,44.579471,8.193302
004074,44.668989,8.198579
004075,44.564534,7.485427
004076,44.57462,8.126185
004077,44.699166,7.157719
004078,44.45807,7.558137
004079,44.315264,7.297508
004080,44.65031,8.027508
004081,44.530782,7.947233
004082,44.465942,7.367256
004083,44.540329,7.090319
004084,44.241425,7.399331
004085,44.682235,7.371123
004086,44.512031,7.914245
004087,44.80624,7.585125
004088,44.543739,8.104941
004089,44.549349,7.725016
004090,44.287769,7.806567
004091,44.302165,7.798008
004092,44.571632,7.276023
004093,44.335245,7.406784
004094,44.628734,7.347323
004095,44.202931,8.019253
004096,44.588936,7.66453
004097,44.512838,8.135142
004098,44.460137,8.167544
004099,44.804445,8.094036
004100,44.65334,7.995036
004101,44.739486,8.034836
004102,44.442936,8.013341
004103,44.587633,7.381625
004104,44.624928,7.555576
004105,44.63848,7.932582
004106,44.60584,8.098139
004107,44.559937,7.882136
004108,44.402234,7.97084
004109,44.538239,8.155042
004110,44.202726,7.576336
004111,44.307132,7.978742
004112,44.500248,7.17926
004113,44.769244,8.070136
004114,44.459634,7.805336
004115,44.686443,8.150239
004116,44.615872,7.48702
004117,44.661972,7.729157
004118,44.403432,7.684934
004119,44.439247,7.123515
004120,44.453858,7.981246
004121,44.627234,7.362823
004122,44.562048,7.32049
004123,44.321127,7.38973
004124,44.467637,8.088242
004125,44.366633,7.967941
004126,44.330752,7.823675
004127,44.328232,7.943241
004128,44.686338,7.619528
004129,44.570538,7.920236
004130,44.390028,7.820472
004131,44.465037,8.118542
004132,44.582438,7.969637
004133,44.813644,7.957233
004134,44.321731,7.86714
004135,44.768719,7.924151
004136,44.462233,7.665633
004137,44.62144,8.048038
004138,44.43743,7.375327
004139,44.408228,7.322927
004140,44.780686,7.931189
004141,44.377035,8.141144
004142,44.718182,7.948204
004143,44.763839,7.537125
004144,44.423932,7.713335
004145,44.474649,8.021336
004146,44.752139,7.600926
004147,44.595438,7.869835
004148,44.72605,8.115186
004149,44.691942,8.116838
004150,44.512738,8.079341
004151,44.413112,7.922952
004152,44.587706,7.927116
004153,44.340334,8.060343
004154,44.676262,7.190376
004155,44.148871,7.912606
004156,44.692521,7.188312
004157,44.684564,7.273841
004158,44.611734,7.425725
004159,44.277029,7.913714
004160,44.432036,8.072442
004161,44.599341,8.213042
004162,44.32202,8.094944
004163,44.330015,7.617468
004164,44.53874,8.193943
004165,44.372031,7.711435
004166,44.568001,7.457775
004167,44.343768,7.033462
004168,44.735019,7.979668
004169,44.515655,7.892257
004170,44.715241,7.882933
004171,44.80234,7.595725
004172,44.622646,7.02998
004173,44.418346,7.280699
004174,44.482898,7.055396
004175,44.376035,8.093343
004176,44.787185,8.061645
004177,44.245575,8.022422
004178,44.488441,8.14375
004179,44.769819,7.678887
004180,44.654948,7.389914
004181,44.650734,7.346423
004182,44.351028,7.398429
004183,44.270105,7.455976
004184,44.417138,8.022343
004185,44.294182,7.511178
004186,44.306331,7.89224
004187,44.47453,7.343726
004188,44.445235,7.950939
004189,44.423633,7.761136
004190,44.31794,7.744742
004191,44.341583,7.440791
004192,44.314628,7.482432
004193,44.636042,8.17534
004194,44.679641,7.975435
004195,44.573849,8.019119
004196,44.62854,8.056838
004197,44.543333,7.433826
004198,44.706638,7.604027
004199,44.395235,8.080143
004200,44.399902,8.078891
004201,44.413336,8.168644
004202,44.578037,7.791833
004203,44.644605,7.492601
004204,44.336292,7.079338
004205,44.579684,7.188889
004206,44.490137,8.057841
004207,44.48873,7.258424
004208,44.749384,7.803374
004209,44.647034,7.321022
004210,44.377031,7.911036
004211,44.508934,7.722333
004212,44.698641,7.937334
004213,44.70774,8.230731
004214,44.788443,7.940933
004215,44.644037,7.655929
004216,44.333333,7.986442
004217,44.67881,7.56595
004218,44.610686,8.000556
004219,44.559239,8.058639
004220,44.600339,8.019938
004221,44.535338,8.007839
004222,44.768741,7.78533
004223,44.745642,7.900633
004224,44.506858,7.125828
004225,44.493679,7.543677
004226,44.56274,8.154441
004227,44.352832,7.89964
004228,44.735739,7.528128
004229,44.433639,8.036745
004230,44.689151,8.086845
004231,44.677049,8.107468
004232,44.508277,7.757897
004233,44.277626,7.397631
004234,44.411229,7.380128
004235,44.338067,7.374371
004237,44.562163,7.396865
004238,44.66614,7.930735
004239,44.245027,7.533834
004240,44.602899,7.474941
004241,44.76364,7.996134
004242,44.374442,7.872552
004243,44.362229,7.472731
004244,44.543734,7.540129
004245,44.346932,7.766338
004246,44.729938,7.574426
004247,44.484731,7.382226
004248,44.309025,7.176025
004249,44.290744,7.966471
004250,44.564134,7.579129
005001,44.791012,8.249988
005002,45.077966,7.971154
005003,44.845059,8.13484
005004,45.101082,8.000528
005005,44.826013,8.202686
005006,44.874588,8.267791
005007,44.905948,8.091638
005008,44.830438,8.330191
005009,45.094813,7.953012
005010,44.793248,8.440543
005011,44.663673,8.295134
005012,45.022638,7.950799
005013,44.737016,8.334154
005014,45.007826,8.25694
005015,44.739837,8.227501
005016,44.991013,8.091198
005017,44.719278,8.287138
005018,44.900516,8.030217
005019,45.004136,8.007991
005020,45.02339,8.334503
005021,44.689092,8.303238
005022,44.75114,8.150245
005023,44.961596,8.306235
005024,44.720396,8.380106
005025,44.982097,8.209929
005026,44.924338,8.074544
005027,44.750955,8.433094
005028,44.879039,8.31389
005029,44.801534,8.412187
005030,44.788106,8.2853
005031,45.040849,7.963128
005032,44.718346,8.415344
005033,44.866689,7.944725
005034,44.857347,8.122392
005035,45.05215,8.035071
005036,44.872416,8.360249
005037,44.648944,8.24364
005038,44.985716,8.117159
005039,44.975249,8.100033
005040,44.825007,8.004618
005041,44.72837,8.145331
005042,45.087459,8.039221
005044,45.000907,8.146056
005045,44.958967,8.057802
005046,45.015018,8.08938
005047,44.979636,8.061662
005048,44.822849,8.358889
005049,44.99432,8.136651
005050,44.786418,8.182223
005051,45.03995,8.096731
005052,44.925493,7.97219
005053,44.875446,7.994732
005054,44.753259,8.422351
005055,45.004901,8.168806
005056,44.998351,8.299436
005057,45.039582,8.313553
005058,44.808456,8.373444
005059,44.829367,8.177452
005060,44.669043,8.258442
005061,44.760563,8.478257
005062,44.944711,8.034271
005063,44.762719,8.277822
005064,44.569556,8.330186
005065,44.771349,8.448909
005066,44.81771,8.294669
005067,44.93605,8.071859
005068,44.648543,8.326643
005069,45.050222,8.26522
005070,45.068107,7.932533
005071,44.849233,8.218475
005072,44.698745,8.390644
005073,44.989289,8.024872
005074,44.830345,8.259052
005075,45.007816,8.112152
005076,44.823943,8.239782
005077,44.983701,8.323579
005079,45.11483,8.025051
005080,44.77331,8.353709
005081,44.58582,8.247201
005082,45.05585,8.018729
005083,45.033201,8.250253
005084,45.025113,8.071827
005085,45.05745,7.986229
005086,45.054532,8.049276
005087,44.957405,8.258145
005088,44.750947,8.449144
005089,44.936297,8.343661
005090,44.85854,8.158222
005091,44.951609,8.027015
005092,45.101652,8.10193
005093,44.873212,8.285806
005094,44.592176,8.271898
005095,44.706723,8.346003
005096,44.858671,8.345706
005097,44.833445,8.063534
005098,44.611329,8.242425
005099,44.818627,8.109185
005100,44.754021,8.295757
005101,44.950565,7.970582
005103,44.965799,8.278499
005104,44.553887,8.259555
005105,44.6695,8.337265
005106,44.962466,8.11397
005107,44.996298,8.078514
005108,44.886952,8.075355
005109,45.024451,8.190036
005110,45.117473,8.00196
005111,44.796406,8.339014
005112,44.901746,7.964331
005113,44.636851,8.22817
005114,45.000745,8.05012
005115,44.980508,8.358455
005116,44.835433,8.231949
005117,44.91329,8.032501
005118,44.941889,7.937502
005119,45.005075,8.135249
005120,44.807318,8.317386
005121,45.06447,8.098861
006001,44.675145,8.467546
006002,44.702351,9.066158
006003,44.834953,8.74503
006004,45.048552,8.208334
006005,44.726046,8.450745
006007,44.993552,8.375938
006008,45.018057,8.880649
006009,44.687845,8.885338
006010,44.802832,8.965144
006011,45.183005,8.402652
006012,44.767905,8.704785
006013,45.001634,8.734624
006014,44.625046,8.661251
006015,44.827249,8.454743
006016,44.876356,8.949685
006017,44.661518,8.369525
006018,44.730892,8.945331
006019,44.83625,8.538545
006020,45.090963,8.525829
006021,44.825551,8.677248
006022,44.650033,8.792389
006023,45.070192,8.606488
006024,44.810065,9.042552
006025,44.673751,9.09576
006026,45.017653,8.429739
006027,45.162142,8.287403
006028,44.718152,9.044958
006029,44.727849,8.69085
006030,44.8494,8.869654
006031,44.828739,8.471299
006032,44.806893,8.900179
006033,44.677202,8.606409
006034,44.619046,9.175637
006035,44.658248,8.831554
006036,44.591842,8.420131
006037,44.83495,8.624946
006038,44.633547,8.730452
006039,45.136266,8.449813
006040,44.913177,8.981156
006041,44.828347,9.005811
006043,44.749948,8.527846
006044,44.601544,8.563449
006045,44.798268,8.930478
006046,44.905726,8.948289
006047,44.84505,8.577245
006048,44.62559,8.394288
006049,44.684548,8.703951
006050,45.074454,8.240564
006051,44.981148,8.564545
006052,44.742648,8.548547
006053,44.980249,8.880356
006054,44.806149,8.583146
006055,44.630344,8.454247
006056,45.074868,8.391185
006057,45.087654,8.319935
006058,44.842216,8.931119
006059,45.121354,8.213832
006060,45.146852,8.371519
006061,45.019717,8.456369
006062,44.81643,8.926872
006063,44.635945,8.585249
006065,44.598842,8.333145
006066,44.766872,9.05076
006067,44.784954,9.147559
006068,44.899964,8.436212
006069,44.591047,8.878456
006070,44.734649,8.731251
006071,44.826449,8.532245
006072,45.031753,8.387638
006073,45.133411,8.533943
006074,44.78295,8.686149
006075,44.837151,8.681548
006076,44.962752,8.42994
006077,45.156754,8.195231
006078,44.809049,8.541645
006079,44.780453,8.997856
006081,44.687649,8.809353
006082,45.060555,8.566541
006083,44.796254,9.106858
006084,44.63055,8.492931
006085,44.69645,8.965456
006086,45.0138,8.843573
006087,45.030501,8.848734
006088,44.636047,8.715452
006090,44.559342,8.413147
006091,44.869649,8.407741
006092,44.643944,8.424946
006093,44.518798,8.298076
006094,45.035552,8.523249
006095,44.618645,8.60055
006096,45.023436,8.892237
006097,45.132854,8.250333
006098,44.838445,9.035317
006099,45.15476,8.161422
006100,44.640139,9.061854
006101,44.887066,8.980251
006102,44.766453,9.104958
006103,44.667147,8.730152
006104,44.682647,8.587848
006105,44.949452,8.685741
006106,44.59494,8.37957
006107,44.841776,8.963008
006108,44.848338,8.99361
006109,45.164222,8.365692
006110,44.590801,8.518387
006111,44.639247,8.756153
006112,44.665346,8.550848
006113,45.083776,8.137233
006114,44.76085,8.789551
006115,45.060255,8.50764
006116,45.10976,8.166903
006117,45.071652,8.206033
006118,45.037388,8.367527
006119,44.690146,8.562748
006120,45.054321,8.338375
006121,44.638346,8.64525
006122,44.86125,8.487743
006123,45.108923,8.37023
006124,44.820713,8.89163
006125,44.516402,8.382161
006126,44.669748,8.758652
006127,44.75085,8.749251
006128,44.989755,8.670945
006129,44.943799,8.67014
006131,45.062915,8.594743
006132,44.960475,8.933609
006133,45.143284,8.333425
006134,44.627476,8.36539
006135,45.084853,8.265534
006136,44.588185,8.458654
006137,44.878055,9.029854
006138,44.795154,8.784849
006139,44.639245,8.551948
006140,44.752637,8.658324
006141,44.944966,8.487386
006142,44.89635,8.404941
006143,44.731935,8.467775
006144,44.711375,8.550068
006145,44.976855,8.715646
006146,44.677486,9.028695
006147,44.671447,8.64845
006148,44.706551,9.050458
006149,45.079878,8.398478
006150,45.075154,8.358736
006151,44.980656,8.809348
006152,44.692248,8.750152
006153,45.107685,8.413055
006154,44.994154,8.565942
006155,44.785816,9.064654
006156,44.784752,8.921154
006157,44.752885,8.896325
006158,44.867612,8.912663
006159,45.100254,8.282034
006160,44.72558,8.8547
006161,44.784849,8.572546
006162,44.686915,8.67496
006163,44.918498,8.511902
006164,45.129054,8.283234
006165,44.543141,8.333946
006166,44.837353,8.873752
006167,44.727394,8.867728
006168,44.698146,8.521847
006169,44.638346,8.665851
006170,44.728549,8.771552
006171,45.082255,8.443238
006172,44.670445,8.421645
006173,45.098026,8.555658
006174,44.89666,8.864128
006175,45.096854,8.359536
006176,44.661646,8.586149
006177,45.014025,8.645821
006178,45.100786,8.582789
006179,45.011253,8.396138
006180,44.709948,8.891262
006181,44.905507,8.918616
006182,45.072252,8.167932
006183,44.815352,8.857252
006184,45.134725,8.170291
006185,45.182857,8.479237
006186,44.849653,8.887752
006187,44.661845,8.500747
006188,44.890375,8.9823
006189,44.892495,8.96006
006190,44.620354,8.842748
006191,44.766166,8.863175
006192,44.982464,8.752398
006193,44.996613,8.474265
096001,45.698291,8.221213
096002,45.609264,8.05272
096003,45.513662,8.126623
096004,45.566954,8.086912
096005,45.606808,8.129709
096006,45.506161,8.038621
096007,45.593865,8.251924
096008,45.631365,8.09722
096009,45.644165,8.09972
096010,45.543668,8.003131
096012,45.546208,8.112599
096013,45.689752,8.21626
096014,45.616096,8.195713
096015,45.516218,8.226654
096016,45.407734,8.093429
096018,45.468361,8.068123
096019,45.688139,8.176264
096020,45.569912,8.179988
096021,45.686868,8.246722
096023,45.627597,8.23728
096024,45.528192,7.908557
096025,45.42606,8.098524
096026,45.537862,8.075022
096027,45.493063,8.232226
096028,45.558562,7.978019
096030,45.462058,8.004502
096031,45.491362,8.164524
096032,45.594632,8.224249
096033,45.626566,8.189522
096034,45.613464,8.044719
096035,45.527732,8.010583
096037,45.505063,8.206725
096038,45.560762,7.988919
096039,45.537929,7.945516
096040,45.55612,8.021519
096041,45.565062,8.001319
096042,45.613064,8.104221
096043,45.589864,8.135322
096044,45.689803,7.95479
096046,45.579763,8.005919
096047,45.538462,8.055921
096048,45.675283,8.179365
