comune,comune_codice_istat,nome_file,nome_cod_istat,link_stemma_cod_istat_ods,link_stemma_nomi_ods,link_stemma_araldica
Azeglio,1014,azeglio.jpg,001014.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001014.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/azeglio.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/azeglio.jpg?fit=178%2C300&ssl=1
Bairo,1015,bairo.jpg,001015.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001015.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bairo.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bairo.jpg?fit=229%2C300&ssl=1
Balangero,1016,balangero.jpg,001016.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001016.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/balangero.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/balangero.jpg?fit=227%2C300&ssl=1
Baldissero Canavese,1017,baldisserocanavese.jpg,001017.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001017.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/baldisserocanavese.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/baldisserocanavese.jpg?fit=229%2C300&ssl=1
Baldissero Torinese,1018,Baldissero-Torinese.jpg,001018.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001018.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Baldissero-Torinese.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Baldissero-Torinese.jpg?fit=229%2C300&ssl=1
Balme,1019,balme.jpg,001019.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001019.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/balme.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/balme.jpg?fit=230%2C300&ssl=1
Banchette,1020,Banchette-0.jpg,001020.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001020.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Banchette-0.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Banchette-0.jpg?fit=248%2C300&ssl=1
Barbania,1021,barbania.jpg,001021.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001021.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/barbania.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/barbania.jpg?fit=229%2C300&ssl=1
Bardonecchia,1022,bardonecchia.jpg,001022.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001022.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bardonecchia.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bardonecchia.jpg?fit=227%2C300&ssl=1
Barone Canavese,1023,baronecanavese.jpg,001023.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001023.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/baronecanavese.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/baronecanavese.jpg?fit=208%2C300&ssl=1
Beinasco,1024,beinasco-1.jpg,001024.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001024.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/beinasco-1.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/beinasco-1.jpg?fit=235%2C300&ssl=1
Bibiana,1025,Bibiana-1.jpg,001025.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001025.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Bibiana-1.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bibiana-1.jpg?fit=218%2C300&ssl=1
Bobbio Pellice,1026,bobbiopellice.jpg,001026.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001026.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bobbiopellice.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bobbiopellice.jpg?fit=229%2C300&ssl=1
Bollengo,1027,bollengo.jpg,001027.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001027.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bollengo.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bollengo.jpg?fit=229%2C300&ssl=1
Borgaro Torinese,1028,Borgaro-Torinese.jpg,001028.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001028.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Borgaro-Torinese.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Borgaro-Torinese.jpg?fit=218%2C300&ssl=1
Borgiallo,1029,borgiallo.jpg,001029.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001029.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/borgiallo.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/borgiallo.jpg?fit=229%2C300&ssl=1
Borgofranco d'Ivrea,1030,borgofrancodivrea.jpg,001030.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001030.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/borgofrancodivrea.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/borgofrancodivrea.jpg?fit=229%2C300&ssl=1
Borgomasino,1031,borgomasino.jpg,001031.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001031.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/borgomasino.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/borgomasino.jpg?fit=240%2C300&ssl=1
Borgone Susa,1032,Borgone-Susa.jpg,001032.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001032.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Borgone-Susa.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Borgone-Susa.jpg?fit=218%2C300&ssl=1
Bosconero,1033,bosconero.jpg,001033.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001033.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bosconero.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bosconero.jpg?fit=229%2C300&ssl=1
Brandizzo,1034,brandizzo.jpg,001034.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001034.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/brandizzo.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/brandizzo.jpg?fit=203%2C300&ssl=1
Bricherasio,1035,Bricherasio-scaled.jpg,001035.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001035.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Bricherasio-scaled.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bricherasio-scaled.jpg?fit=232%2C300&ssl=1
Brosso,1036,Brosso.jpg,001036.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001036.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Brosso.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Brosso.jpg?fit=218%2C300&ssl=1
Brozolo,1037,Brozolo-1.jpg,001037.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001037.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Brozolo-1.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Brozolo-1.jpg?fit=208%2C300&ssl=1
Bruino,1038,bruino.jpg,001038.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001038.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bruino.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bruino.jpg?fit=237%2C300&ssl=1
Brusasco,1039,brusasco.jpg,001039.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001039.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/brusasco.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/brusasco.jpg?fit=236%2C300&ssl=1
Bruzolo,1040,bruzolo.jpg,001040.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001040.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/bruzolo.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/bruzolo.jpg?fit=300%2C282&ssl=1
Buriasco,1041,buriasco.jpg,001041.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001041.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/buriasco.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/buriasco.jpg?fit=206%2C300&ssl=1
Burolo,1042,Burolo.jpg,001042.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001042.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Burolo.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2019/05/Burolo.jpg?fit=218%2C300&ssl=1
Busano,1043,busano.jpg,001043.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001043.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/busano.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/busano.jpg?fit=227%2C300&ssl=1
Bussoleno,1044,Bussoleno.jpg,001044.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001044.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Bussoleno.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Bussoleno.jpg?fit=215%2C300&ssl=1
Buttigliera Alta,1045,buttiglieraalta.jpg,001045.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001045.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/buttiglieraalta.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/buttiglieraalta.jpg?fit=229%2C300&ssl=1
Cafasse,1046,cafasse.jpg,001046.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001046.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/cafasse.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/cafasse.jpg?fit=226%2C300&ssl=1
Caluso,1047,caluso.jpg,001047.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001047.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/caluso.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caluso.jpg?fit=263%2C300&ssl=1
Cambiano,1048,cambiano.jpg,001048.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001048.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/cambiano.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/cambiano.jpg?fit=254%2C300&ssl=1
Campiglione Fenile,1049,campiglione-fenile.jpg,001049.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001049.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/campiglione-fenile.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/campiglione-fenile.jpg?fit=229%2C300&ssl=1
Candia Canavese,1050,Candia-Canavese.jpg,001050.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001050.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Candia-Canavese.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Candia-Canavese.jpg?fit=218%2C300&ssl=1
Candiolo,1051,Candiolo.jpg,001051.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001051.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Candiolo.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Candiolo.jpg?fit=216%2C300&ssl=1
Canischio,1052,Canischio-1.jpg,001052.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001052.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Canischio-1.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Canischio-1.jpg?fit=218%2C300&ssl=1
Cantalupa,1053,Cantalupa-A.jpg,001053.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001053.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Cantalupa-A.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cantalupa-A.jpg?fit=227%2C300&ssl=1
Cantoira,1054,Cantoira.jpg,001054.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001054.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Cantoira.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cantoira.jpg?fit=240%2C300&ssl=1
Caprie,1055,Caprie.jpg,001055.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001055.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Caprie.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Caprie.jpg?fit=220%2C300&ssl=1
Caravino,1056,caravino-1.jpg,001056.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001056.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/caravino-1.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caravino-1.jpg?fit=227%2C300&ssl=1
Carema,1057,carema.jpg,001057.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001057.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/carema.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/carema.jpg?fit=257%2C300&ssl=1
Carignano,1058,Carignano-1.jpg,001058.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001058.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Carignano-1.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Carignano-1.jpg?fit=217%2C300&ssl=1
Carmagnola,1059,carmagnola.jpg,001059.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001059.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/carmagnola.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/carmagnola.jpg?fit=300%2C272&ssl=1
Casalborgone,1060,casalborgone.jpg,001060.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001060.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/casalborgone.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/casalborgone.jpg?fit=227%2C300&ssl=1
Cascinette d'Ivrea,1061,Cascinette-dIvrea.jpg,001061.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001061.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Cascinette-dIvrea.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cascinette-dIvrea.jpg?fit=218%2C300&ssl=1
Caselette,1062,caselette.jpg,001062.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001062.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/caselette.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caselette.jpg?fit=211%2C300&ssl=1
Caselle Torinese,1063,caselletorinese.jpg,001063.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001063.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/caselletorinese.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caselletorinese.jpg?fit=220%2C300&ssl=1
Castagneto Po,1064,castagnetopo.jpg,001064.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001064.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/castagnetopo.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/castagnetopo.jpg?fit=229%2C300&ssl=1
Castagnole Piemonte,1065,castagnolepiemonte.jpg,001065.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001065.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/castagnolepiemonte.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/castagnolepiemonte.jpg?fit=247%2C300&ssl=1
Castellamonte,1066,Castellamonte-A.jpg,001066.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001066.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Castellamonte-A.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Castellamonte-A.jpg?fit=298%2C300&ssl=1
Castelnuovo Nigra,1067,castelnuovonigra.jpg,001067.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001067.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/castelnuovonigra.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/05/castelnuovonigra.jpg?fit=227%2C300&ssl=1
Castiglione Torinese,1068,castiglionetorinese.jpg,001068.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001068.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/castiglionetorinese.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/05/castiglionetorinese.jpg?fit=227%2C300&ssl=1
Cavagnolo,1069,Cavagnolo.jpg,001069.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001069.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Cavagnolo.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cavagnolo.jpg?fit=237%2C300&ssl=1
