comune,comune_codice_istat,nome_file,nome_cod_istat,link_stemma_cod_istat_ods,link_stemma_nomi_ods,link_stemma_araldica
Agliè,1001,Aglie.jpg,001001.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001001.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Aglie.jpgAglie.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Aglie.jpg?fit=244%2C300&ssl=1
Airasca,1002,airasca.jpg,001002.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001002.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/airasca.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/airasca.jpg?fit=227%2C300&ssl=1
Ala di Stura,1003,Ala-di-Stura.jpg,001003.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001003.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Ala-di-Stura.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Ala-di-Stura.jpg?fit=218%2C300&ssl=1
Albiano d'Ivrea,1004,albianodivrea.jpg,001004.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001004.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/albianodivrea.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/albianodivrea.jpg?fit=229%2C300&ssl=1
Almese,1006,Almese.jpg,001006.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001006.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Almese.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Almese.jpg?fit=229%2C300&ssl=1
Alpette,1007,alpette.jpg,001007.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001007.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/alpette.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/alpette.jpg?fit=240%2C300&ssl=1
Alpignano,1008,Alpignano-A.jpg,001008.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001008.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Alpignano-A.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Alpignano-A.jpg?fit=227%2C300&ssl=1
Andezeno,1009,andezenobis.jpg,001009.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001009.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/andezenobis.jpg,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/andezenobis.jpg?fit=203%2C300&ssl=1
Andrate,1010,Andrate.jpg,001010.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001010.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/Andrate.jpg,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Andrate.jpg?fit=203%2C300&ssl=1
Angrogna,1011,angrogna.jpg,001011.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001011.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/angrogna.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/angrogna.jpg?fit=300%2C274&ssl=1
Arignano,1012,arignano.jpg,001012.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001012.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/arignano.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/arignano.jpg?fit=235%2C300&ssl=1
Avigliana,1013,avigliana-1.jpg,001013.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001013.jpg,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_nomi_comuni/comuni/avigliana-1.jpg,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/avigliana-1.jpg?fit=248%2C300&ssl=1
