comune_denominazione,comune_codice_istat,latitudine,longitudine
Rodano,015185,45.477658,9.353461
Rosate,015188,45.351992,9.017478
Rozzano,015189,45.383237,9.154131
San Colombano al Lambro,015191,45.181716,9.488578
San Donato Milanese,015192,45.41807,9.27165
San Giorgio su Legnano,015194,45.573771,8.913739
San Giuliano Milanese,015195,45.39427,9.291851
Santo Stefano Ticino,015200,45.487263,8.918626
San Vittore Olona,015201,45.586091,8.942696
San Zenone al Lambro,015202,45.327269,9.355253
Sedriano,015204,45.488333,8.968731
Segrate,015205,45.490735,9.29482
Senago,015206,45.576272,9.124548
Sesto San Giovanni,015209,45.535722,9.237655
Settala,015210,45.454413,9.386766
Settimo Milanese,015211,45.480309,9.055356
Solaro,015213,45.617526,9.081021
Trezzano Rosa,015219,45.582777,9.486652
Trezzano sul Naviglio,015220,45.417988,9.069116
Trezzo sull'Adda,015221,45.608718,9.519844
Tribiano,015222,45.413371,9.378952
Truccazzano,015224,45.483874,9.468553
Turbigo,015226,45.52915,8.736666
Vanzago,015229,45.526826,8.994955
Vaprio d'Adda,015230,45.576576,9.529174
Vernate,015236,45.316147,9.060968
Vignate,015237,45.496573,9.376651
Vimodrone,015242,45.512832,9.284672
Vittuone,015243,45.487969,8.952442
Vizzolo Predabissi,015244,45.35636,9.349762
Zibido San Giacomo,015247,45.36,9.106028
Villa Cortese,015248,45.566752,8.888903
Vanzaghello,015249,45.579253,8.782372
Baranzate,015250,45.527222,9.117601
Vermezzo con Zelo,015251,45.390781,8.982192
Adrara San Martino,016001,45.699945,9.948935
Adrara San Rocco,016002,45.713986,9.958705
Albano Sant'Alessandro,016003,45.686482,9.770656
Albino,016004,45.760814,9.79683
Almè,016005,45.73701,9.614785
Almenno San Bartolomeo,016006,45.742681,9.582251
Almenno San Salvatore,016007,45.749956,9.596368
Alzano Lombardo,016008,45.733603,9.730494
Ambivere,016009,45.71958,9.55015
Antegnate,016010,45.486477,9.79146
Arcene,016011,45.575577,9.614054
Ardesio,016012,45.937512,9.931158
Arzago d'Adda,016013,45.481513,9.561678
Averara,016014,45.98868,9.631398
Aviatico,016015,45.800307,9.771656
Azzano San Paolo,016016,45.661039,9.67518
Azzone,016017,45.978518,10.112647
Bagnatica,016018,45.660881,9.781057
Barbata,016019,45.474977,9.77736
Bariano,016020,45.512646,9.704925
Barzana,016021,45.733986,9.567264
Bedulita,016022,45.791652,9.55155
Berbenno,016023,45.814783,9.571049
Bergamo,016024,45.756656,9.754219
Berzo San Fermo,016025,45.719384,9.903158
Bianzano,016026,45.774503,9.920848
Blello,016027,45.837784,9.571049
Bolgare,016028,45.635081,9.812858
Boltiere,016029,45.600878,9.578453
Bonate Sopra,016030,45.68338,9.559751
Bonate Sotto,016031,45.666784,9.561388
Borgo di Terzo,016032,45.721786,9.894848
Bossico,016033,45.828388,10.045059
Bottanuco,016034,45.639878,9.506451
Bracca,016035,45.823886,9.707871
Branzi,016036,46.005377,9.759974
Brembate,016037,45.603928,9.555598
Brembate di Sopra,016038,45.716763,9.579416
Brignano Gera d'Adda,016040,45.545519,9.648953
Brumano,016041,45.855083,9.500547
Brusaporto,016042,45.670846,9.761354
Calcinate,016043,45.619721,9.798877
Calcio,016044,45.50921,9.850979
Calusco d'Adda,016046,45.691379,9.472649
Calvenzano,016047,45.494981,9.601286
Camerata Cornello,016048,45.898686,9.656349
Canonica d'Adda,016049,45.575677,9.541653
Capizzone,016050,45.784482,9.56775
Capriate San Gervasio,016051,45.612578,9.528752
Caprino Bergamasco,016052,45.74528,9.481748
Caravaggio,016053,45.49726,9.64374
Carobbio degli Angeli,016055,45.665182,9.829158
Carona,016056,46.141084,10.090007
Carvico,016057,45.703779,9.482249
Casazza,016058,45.749184,9.907258
Casirate d'Adda,016059,45.494124,9.567808
Casnigo,016060,45.815986,9.868556
Cassiglio,016061,45.966787,9.612147
Castelli Calepio,016062,45.631966,9.896063
Castel Rozzone,016063,45.552277,9.619855
Castione della Presolana,016064,45.907455,10.035059
Castro,016065,45.802987,10.06706
Cavernago,016066,45.625097,9.76164
Cazzano Sant'Andrea,016067,45.812733,9.884704
Cenate Sopra,016068,45.711865,9.823789
Cenate Sotto,016069,45.698864,9.825711
Cene,016070,45.78367,9.82546
Cerete,016071,45.854348,10.011019
Chignolo d'Isola,016072,45.667579,9.527651
Chiuduno,016073,45.650819,9.848016
Cisano Bergamasco,016074,45.74248,9.470248
Ciserano,016075,45.585281,9.60085
Cividate al Piano,016076,45.554879,9.83096
Clusone,016077,45.887088,9.949656
Colere,016078,45.974292,10.082757
Cologno al Serio,016079,45.579772,9.707725
Colzate,016080,45.816027,9.855865
Comun Nuovo,016081,45.622911,9.663127
Corna Imagna,016082,45.830683,9.544848
Cortenuova,016083,45.538978,9.787859
Costa di Mezzate,016084,45.661981,9.793957
Costa Valle Imagna,016085,45.80501,9.502141
Costa Volpino,016086,45.829888,10.098161
Covo,016087,45.500322,9.770107
Credaro,016088,45.660582,9.93106
Curno,016089,45.691514,9.610966
Cusio,016090,45.990888,9.601746
Dalmine,016091,45.649279,9.603953
Dossena,016092,45.880286,9.696751
Endine Gaiano,016093,45.792486,9.969058
Entratico,016094,45.705615,9.874626
Fara Gera d'Adda,016096,45.555676,9.537853
Fara Olivana con Sola,016097,45.49172,9.737362
Filago,016098,45.637578,9.556352
Fino del Monte,016099,45.892689,9.994057
Fiorano al Serio,016100,45.799841,9.842294
Fontanella,016101,45.469877,9.801961
Fonteno,016102,45.757803,10.020207
Foppolo,016103,46.04189,9.757449
Foresto Sparso,016104,45.690883,9.920059
Fornovo San Giovanni,016105,45.497925,9.676906
Fuipiano Valle Imagna,016106,45.854284,9.528447
Gandellino,016107,45.99155,9.946597
Gandino,016108,45.811533,9.903118
Gandosso,016109,45.658882,9.888859
Gaverina Terme,016110,45.755784,9.886657
Gazzaniga,016111,45.796642,9.834955
Ghisalba,016113,45.594193,9.753914
Gorlago,016114,45.676703,9.827054
Gorle,016115,45.703735,9.719022
Gorno,016116,45.862895,9.843416
Grassobbio,016117,45.65723,9.723107
Gromo,016118,45.96399,9.927054
Grone,016119,45.727504,9.911202
Grumello del Monte,016120,45.637181,9.876759
Isola di Fondra,016121,45.978491,9.746387
Isso,016122,45.476787,9.758419
Lallio,016123,45.66638,9.630053
Leffe,016124,45.800686,9.885456
Lenna,016125,45.943983,9.678696
Levate,016126,45.625179,9.624154
Locatello,016127,45.834502,9.53326
Lovere,016128,45.816882,10.075214
Lurano,016129,45.565677,9.640155
Luzzana,016130,45.716393,9.880496
Madone,016131,45.649957,9.547963
Mapello,016132,45.708965,9.547513
Martinengo,016133,45.570368,9.767376
Mezzoldo,016134,46.012403,9.664874
Misano di Gera d'Adda,016135,45.468775,9.621057
Moio de' Calvi,016136,45.952003,9.700212
Monasterolo del Castello,016137,45.763185,9.931658
Montello,016139,45.672082,9.805657
Morengo,016140,45.533604,9.705278
Mornico al Serio,016141,45.59138,9.809259
Mozzanica,016142,45.476076,9.689258
Mozzo,016143,45.69868,9.608652
Nembro,016144,45.743974,9.759275
Olmo al Brembo,016145,45.969676,9.648649
Oltre il Colle,016146,45.889487,9.769252
Oltressenda Alta,016147,45.916699,9.944232
Oneta,016148,45.871487,9.819354
Onore,016149,45.891169,10.009936
Orio al Serio,016150,45.676227,9.692956
Ornica,016151,45.988971,9.579479
Osio Sopra,016152,45.630787,9.591063
Osio Sotto,016153,45.616078,9.589053
Pagazzano,016154,45.534277,9.671157
Paladina,016155,45.730674,9.607994
Palazzago,016156,45.752115,9.535027
Palosco,016157,45.587549,9.835698
Parre,016158,45.874587,9.890855
Parzanica,016159,45.738026,10.034515
Pedrengo,016160,45.695982,9.734955
Peia,016161,45.799761,9.900355
Pianico,016162,45.809887,10.04306
Piario,016163,45.896488,9.927255
Piazza Brembana,016164,45.947786,9.675623
Piazzatorre,016165,45.989717,9.683798
Piazzolo,016166,45.979783,9.67197
Pognano,016167,45.586378,9.639955
Ponte Nossa,016168,45.866062,9.882974
Ponteranica,016169,45.732077,9.651987
Ponte San Pietro,016170,45.697819,9.587857
Pontida,016171,45.732311,9.498642
Pontirolo Nuovo,016172,45.569175,9.569345
Pradalunga,016173,45.746733,9.783129
Predore,016174,45.680784,10.014361
Premolo,016175,45.870187,9.874655
Presezzo,016176,45.69208,9.570351
Pumenengo,016177,45.479947,9.870128
Ranica,016178,45.726338,9.714663
Ranzanico,016179,45.789229,9.935725
Riva di Solto,016180,45.77357,10.039343
Rogno,016182,45.857665,10.133545
Romano di Lombardia,016183,45.518376,9.755087
Roncobello,016184,45.955688,9.75235
Roncola,016185,45.768007,9.561298
Rota d'Imagna,016186,45.830854,9.512792
Rovetta,016187,45.892989,9.983457
San Giovanni Bianco,016188,45.874075,9.653022
San Paolo d'Argon,016189,45.688557,9.804066
San Pellegrino Terme,016190,45.838631,9.664731
Santa Brigida,016191,45.984547,9.621791
Sarnico,016193,45.670143,9.963513
Scanzorosciate,016194,45.710782,9.735055
Schilpario,016195,46.008793,10.157759
Sedrina,016196,45.781783,9.624051
Selvino,016197,45.781144,9.751675
Seriate,016198,45.684371,9.717998
Serina,016199,45.871941,9.729336
Solto Collina,016200,45.781784,10.025203
Songavazzo,016201,45.879525,9.989516
Sorisole,016202,45.744579,9.661195
Sotto il Monte Giovanni XXIII,016203,45.705467,9.503737
Sovere,016204,45.820724,10.023098
Spinone al Lago,016205,45.767485,9.924158
Spirano,016206,45.582078,9.668856
Stezzano,016207,45.65138,9.65351
Strozza,016208,45.773082,9.57745
Suisio,016209,45.655902,9.500154
Taleggio,016210,45.894385,9.562672
Tavernola Bergamasca,016211,45.709385,10.046262
Telgate,016212,45.628881,9.851659
Terno d'Isola,016213,45.685479,9.530951
Torre Boldone,016214,45.716272,9.708189
Torre de' Busi,016215,45.774566,9.480377
Torre de' Roveri,016216,45.700822,9.773514
Torre Pallavicina,016217,45.446377,9.877063
Trescore Balneario,016218,45.696483,9.842557
Treviglio,016219,45.521724,9.593148
Treviolo,016220,45.671543,9.611742
Ubiale Clanezzo,016221,45.780936,9.605822
Urgnano,016222,45.597197,9.694856
Valbondione,016223,46.034193,10.005855
Valbrembo,016224,45.717833,9.607536
Valgoglio,016225,45.97489,9.913554
Valleve,016226,46.02819,9.743749
Valnegra,016227,45.94941,9.690018
Valtorta,016229,45.977787,9.534945
Vedeseta,016230,45.89087,9.540057
Verdellino,016232,45.603136,9.61561
Verdello,016233,45.604778,9.628954
Vertova,016234,45.810219,9.853507
Viadanica,016235,45.684342,9.962284
Vigano San Martino,016236,45.726531,9.89399
Vigolo,016237,45.715775,10.022717
Villa d'Adda,016238,45.71398,9.461649
Villa d'Almè,016239,45.749682,9.614451
Villa di Serio,016240,45.722665,9.732378
Villa d'Ogna,016241,45.904689,9.930855
Villongo,016242,45.673042,9.933834
Vilminore di Scalve,016243,45.997675,10.09248
Zandobbio,016244,45.687882,9.853358
Zanica,016245,45.63946,9.684126
Zogno,016246,45.793706,9.666203
Costa Serina,016247,45.83242,9.741937
Algua,016248,45.826185,9.722152
Cornalba,016249,45.851729,9.743234
Medolago,016250,45.668579,9.49565
Solza,016251,45.677143,9.488937
Sant'Omobono Terme,016252,45.811687,9.535963
Val Brembilla,016253,45.824643,9.601566
Acquafredda,017001,45.307378,10.414677
Adro,017002,45.622402,9.961376
Agnosine,017003,45.650676,10.353335
Alfianello,017004,45.266975,10.148172
Anfo,017005,45.76639,10.493771
Angolo Terme,017006,45.891036,10.146099
Artogne,017007,45.848982,10.164556
Azzano Mella,017008,45.454722,10.116823
Bagnolo Mella,017009,45.429079,10.18437
Bagolino,017010,45.823561,10.462731
Barbariga,017011,45.405077,10.054367
Barghe,017012,45.681887,10.41217
Bassano Bresciano,017013,45.327176,10.12837
Bedizzole,017014,45.510571,10.423032
Berlingo,017015,45.50298,10.043665
Berzo Demo,017016,46.093418,10.336266
Berzo Inferiore,017017,45.931693,10.280587
Bienno,017018,45.935562,10.294791
Bione,017019,45.672786,10.338869
Borgo San Giacomo,017020,45.346975,9.968467
Borgosatollo,017021,45.477262,10.240811
Borno,017022,45.94733,10.206404
Botticino,017023,45.543262,10.323184
Bovegno,017024,45.793307,10.273756
Bovezzo,017025,45.593137,10.24348
Brandico,017026,45.454178,10.052666
Braone,017027,45.990034,10.34319
Breno,017028,45.956324,10.30404
Brescia,017029,45.77958,10.425873
Brione,017030,45.642923,10.146156
Caino,017031,45.612677,10.315085
Calcinato,017032,45.457182,10.413574
Calvagese della Riviera,017033,45.54004,10.445833
Calvisano,017034,45.348052,10.345921
Capo di Ponte,017035,46.030996,10.345862
Capovalle,017036,45.754435,10.54469
Capriano del Colle,017037,45.454869,10.130348
Capriolo,017038,45.637256,9.933605
Carpenedolo,017039,45.364606,10.429385
Castegnato,017040,45.560714,10.115309
Castelcovati,017041,45.498413,9.943282
Castel Mella,017042,45.499592,10.145008
Castenedolo,017043,45.471576,10.29831
Casto,017044,45.69455,10.321243
Castrezzato,017045,45.512505,9.977855
Cazzago San Martino,017046,45.580508,10.026215
Cedegolo,017047,46.076646,10.350068
Cellatica,017048,45.584106,10.180245
Cerveno,017049,46.002509,10.325791
Ceto,017050,46.002595,10.351963
Cevo,017051,46.081397,10.368562
Chiari,017052,45.536462,9.928846
Cigole,017053,45.308636,10.189375
Cimbergo,017054,46.024096,10.365663
Cividate Camuno,017055,45.942493,10.277462
Coccaglio,017056,45.563448,9.978272
Collebeato,017057,45.581315,10.210271
Collio,017058,45.809312,10.332872
Cologne,017059,45.58152,9.941172
Comezzano-Cizzago,017060,45.471278,9.950064
Concesio,017061,45.605184,10.216967
Corte Franca,017062,45.637417,10.006468
Corteno Golgi,017063,46.166198,10.243457
Corzano,017064,45.443778,10.007366
Darfo Boario Terme,017065,45.883486,10.180707
Dello,017066,45.41811,10.075203
Desenzano del Garda,017067,45.469485,10.538947
Edolo,017068,46.179375,10.330757
Erbusco,017069,45.5985,9.972216
Esine,017070,45.925692,10.250862
Fiesse,017071,45.231475,10.324177
Flero,017072,45.482887,10.175008
Gambara,017073,45.255246,10.293411
Gardone Riviera,017074,45.618785,10.559101
Gardone Val Trompia,017075,45.687914,10.183724
Gargnano,017076,45.688138,10.663501
Gavardo,017077,45.584627,10.438237
Ghedi,017078,45.401081,10.279276
Gianico,017079,45.86453,10.183653
Gottolengo,017080,45.291033,10.269829
Gussago,017081,45.592664,10.15345
Idro,017082,45.737745,10.478326
Incudine,017083,46.2203,10.358759
Irma,017084,45.771317,10.284168
Iseo,017085,45.659555,10.051049
Isorella,017086,45.309153,10.322164
Lavenone,017087,45.739689,10.43907
Leno,017088,45.367012,10.218452
Limone sul Garda,017089,45.814119,10.791579
Lodrino,017090,45.719687,10.277667
Lograto,017091,45.484238,10.053276
Lonato del Garda,017092,45.461039,10.484535
Longhena,017093,45.437678,10.059667
Losine,017094,45.983494,10.316163
Lozio,017095,45.986103,10.26036
Lumezzane,017096,45.648258,10.264546
Maclodio,017097,45.476998,10.042715
Magasa,017098,45.781392,10.615973
Mairano,017099,45.449179,10.079567
Malegno,017100,45.950602,10.273339
Malonno,017101,46.122581,10.319212
Manerba del Garda,017102,45.556043,10.562593
Manerbio,017103,45.355777,10.13517
Marcheno,017104,45.709374,10.215326
Marmentino,017105,45.75545,10.287315
Marone,017106,45.736086,10.093762
Mazzano,017107,45.518804,10.354162
Milzano,017108,45.273575,10.199273
Moniga del Garda,017109,45.528523,10.537573
Monno,017110,46.211571,10.339878
Monte Isola,017111,45.716536,10.080176
Monticelli Brusati,017112,45.63219,10.09857
Montichiari,017113,45.415181,10.390675
Montirone,017114,45.44638,10.228771
Mura,017115,45.71398,10.34365
Muscoline,017116,45.562485,10.461874
Nave,017117,45.587727,10.289235
Niardo,017118,45.975994,10.333263
Nuvolento,017119,45.545784,10.386772
Nuvolera,017120,45.532183,10.369172
Odolo,017121,45.64685,10.388448
Offlaga,017122,45.386133,10.117457
Ome,017123,45.627283,10.121365
Ono San Pietro,017124,46.016895,10.328362
Orzinuovi,017125,45.403976,9.921564
Orzivecchi,017126,45.42066,9.961729
Ospitaletto,017127,45.555222,10.073946
Ossimo,017128,45.946192,10.230561
Padenghe sul Garda,017129,45.509584,10.506376
Paderno Franciacorta,017130,45.589187,10.076411
Paisco Loveno,017131,46.078305,10.290733
Paitone,017132,45.553076,10.401255
Palazzolo sull'Oglio,017133,45.599069,9.884966
Paratico,017134,45.659876,9.95507
Paspardo,017135,46.030996,10.370963
Passirano,017136,45.599487,10.064918
Pavone del Mella,017137,45.301256,10.208401
San Paolo,017138,45.370576,10.026767
Pertica Alta,017139,45.744402,10.343936
Pertica Bassa,017140,45.754489,10.37467
Pezzaze,017141,45.774127,10.237377
Pian Camuno,017142,45.843752,10.157887
Pisogne,017143,45.805731,10.10819
Polaveno,017144,45.661484,10.123964
Polpenazze del Garda,017145,45.551185,10.504875
Pompiano,017146,45.431977,9.989265
Poncarale,017147,45.460663,10.173909
Ponte di Legno,017148,46.258603,10.508662
Pontevico,017149,45.274374,10.092471
Pontoglio,017150,45.56938,9.85346
Pozzolengo,017151,45.40597,10.631373
Pralboino,017152,45.267999,10.217413
Preseglie,017153,45.668287,10.39677
Prevalle,017155,45.551482,10.421857
Provaglio d'Iseo,017156,45.635971,10.044167
Provaglio Val Sabbia,017157,45.684864,10.436601
Puegnago del Garda,017158,45.565692,10.51147
Quinzano d'Oglio,017159,45.310875,10.008568
Remedello,017160,45.279498,10.371743
Rezzato,017161,45.514182,10.316671
Roccafranca,017162,45.4643,9.914056
Rodengo Saiano,017163,45.597646,10.109468
Roè Volciano,017164,45.616764,10.49587
Roncadelle,017165,45.527608,10.149701
Rovato,017166,45.567038,9.998601
Rudiano,017167,45.488578,9.887062
Sabbio Chiese,017168,45.658587,10.420571
Sale Marasino,017169,45.715453,10.111139
Salò,017170,45.605678,10.520069
San Felice del Benaco,017171,45.589546,10.551733
San Gervasio Bresciano,017172,45.307376,10.148671
San Zeno Naviglio,017173,45.491572,10.217058
Sarezzo,017174,45.66187,10.195876
Saviore dell'Adamello,017175,46.080497,10.399663
Sellero,017176,46.055989,10.34399
Seniga,017177,45.242674,10.177973
Serle,017178,45.570284,10.366071
Sirmione,017179,45.468849,10.607824
Soiano del Lago,017180,45.527784,10.512675
Sonico,017181,46.165499,10.35286
Sulzano,017182,45.690385,10.100963
Tavernole sul Mella,017183,45.746987,10.240565
Temù,017184,46.249214,10.46805
Tignale,017185,45.739781,10.721765
Torbole Casaglia,017186,45.50531,10.102464
Toscolano-Maderno,017187,45.63453,10.609521
Travagliato,017188,45.523906,10.079783
Tremosine sul Garda,017189,45.771079,10.760773
Trenzano,017190,45.477279,10.010665
Treviso Bresciano,017191,45.713126,10.463664
Urago d'Oglio,017192,45.515978,9.869661
Vallio Terme,017193,45.610193,10.390175
Valvestino,017194,45.762092,10.594646
Verolanuova,017195,45.328581,10.076086
Verolavecchia,017196,45.327012,10.057256
Vestone,017197,45.710641,10.403471
Vezza d'Oglio,017198,46.240213,10.399732
Villa Carcina,017199,45.632214,10.194442
Villachiara,017200,45.355375,9.930966
Villanuova sul Clisi,017201,45.60168,10.453872
Vione,017202,46.248402,10.447161
Visano,017203,45.318378,10.372376
Vobarno,017204,45.643643,10.499454
Zone,017205,45.763445,10.115882
Piancogno,017206,45.919692,10.225262
Alagna,018001,45.169861,8.889846
Albaredo Arnaboldi,018002,45.115325,9.247959
Albonese,018003,45.294438,8.706322
Albuzzano,018004,45.186626,9.27504
Arena Po,018005,45.096606,9.362846
Badia Pavese,018006,45.120328,9.468797
Bagnaria,018007,44.827262,9.122605
Barbianello,018008,45.076662,9.205155
Bascapè,018009,45.308268,9.313453
Bastida Pancarana,018011,45.086061,9.085152
Battuda,018012,45.274665,9.078048
Belgioioso,018013,45.158565,9.313756
Bereguardo,018014,45.257378,9.027957
Borgarello,018015,45.240665,9.14055
Borgo Priolo,018016,44.966449,9.148504
Borgoratto Mormorolo,018017,44.930658,9.193257
Borgo San Siro,018018,45.234969,8.913361
Bornasco,018019,45.266566,9.217951
Bosnasco,018020,45.064363,9.358477
Brallo di Pregola,018021,44.738186,9.28137
Breme,018022,45.126922,8.623567
Bressana Bottarone,018023,45.083601,9.122253
Broni,018024,45.062162,9.261191
Calvignano,018025,44.982744,9.168163
Campospinoso,018026,45.094424,9.244955
Candia Lomellina,018027,45.178758,8.59484
Canneto Pavese,018029,45.050462,9.278757
Carbonara al Ticino,018030,45.165422,9.061957
Casanova Lonati,018031,45.094464,9.213452
Casatisma,018032,45.04906,9.131954
Casei Gerola,018033,45.006146,8.926989
Casorate Primo,018034,45.312366,9.016846
Cassolnovo,018035,45.36556,8.810088
Castana,018036,45.026761,9.272457
Casteggio,018037,45.014114,9.123578
Castelletto di Branduzzo,018038,45.071839,9.090044
Castello d'Agogna,018039,45.234561,8.68714
Castelnovetto,018040,45.25476,8.611838
Cava Manara,018041,45.140173,9.10686
Cecima,018042,44.850969,9.080238
Ceranova,018043,45.260266,9.243152
Ceretto Lomellina,018044,45.244961,8.67244
Cergnago,018045,45.198201,8.772843
Certosa di Pavia,018046,45.257015,9.148114
Cervesina,018047,45.061259,9.016151
Chignolo Po,018048,45.148166,9.481559
Cigognola,018049,45.032761,9.244856
Cilavegna,018050,45.309752,8.743348
Codevilla,018051,44.963288,9.057385
Confienza,018052,45.332162,8.556336
Copiano,018053,45.196266,9.322455
Corana,018054,45.061659,8.96835
Corvino San Quirico,018057,45.010186,9.162397
Costa de' Nobili,018058,45.132054,9.378904
Cozzo,018059,45.192659,8.61104
Cura Carpignano,018060,45.212072,9.255463
Dorno,018061,45.155085,8.951882
Ferrera Erbognone,018062,45.115059,8.864347
Filighera,018063,45.177065,9.315955
Fortunago,018064,44.921176,9.183875
Frascarolo,018065,45.046656,8.682044
Galliavola,018066,45.097559,8.818846
Gambarana,018067,45.028959,8.762538
Gambolò,018068,45.25903,8.85906
Garlasco,018069,45.197362,8.923746
Gerenzago,018071,45.206566,9.359656
Giussago,018072,45.284766,9.140749
Godiasco Salice Terme,018073,44.890183,9.065673
Golferenzo,018074,44.962021,9.306952
Gravellona Lomellina,018075,45.327664,8.76414
Gropello Cairoli,018076,45.178609,8.994031
Inverno e Monteleone,018077,45.197866,9.385256
Landriano,018078,45.311968,9.260052
Langosco,018079,45.214367,8.56373
Lardirago,018080,45.235341,9.233213
Linarolo,018081,45.160981,9.27091
Lirio,018082,44.993982,9.255568
Lomello,018083,45.121059,8.796245
Lungavilla,018084,45.04066,9.081353
Magherno,018085,45.223566,9.329355
Marcignago,018086,45.253065,9.079349
Marzano,018087,45.247967,9.295054
Mede,018088,45.097858,8.735944
Menconico,018089,44.796364,9.27928
Mezzana Bigli,018090,45.059858,8.848447
Mezzana Rabattone,018091,45.094863,9.031254
Mezzanino,018092,45.124654,9.205338
Miradolo Terme,018093,45.171966,9.445558
Montalto Pavese,018094,44.979273,9.209761
Montebello della Battaglia,018095,45.000959,9.103454
Montecalvo Versiggia,018096,44.971268,9.285541
Montescano,018097,45.032644,9.296167
Montesegale,018098,44.906251,9.127073
Monticelli Pavese,018099,45.110731,9.515049
Montù Beccaria,018100,45.036946,9.315538
Mornico Losana,018101,45.010331,9.205113
Mortara,018102,45.247922,8.736385
Nicorvo,018103,45.285662,8.667939
Olevano di Lomellina,018104,45.21296,8.717269
Oliva Gessi,018105,45.00356,9.179355
Ottobiano,018106,45.152816,8.829209
Palestro,018107,45.301761,8.533436
Pancarana,018108,45.074928,9.05079
Parona,018109,45.282602,8.750845
Pavia,018110,45.036855,9.137825
Pietra de' Giorgi,018111,45.020704,9.230576
Pieve Albignola,018112,45.113111,8.9588
Pieve del Cairo,018113,45.049957,8.804146
Pieve Porto Morone,018114,45.109364,9.435759
Pinarolo Po,018115,45.069861,9.167254
Pizzale,018116,45.036505,9.048212
Ponte Nizza,018117,44.851548,9.097243
Portalbera,018118,45.097563,9.318857
Rea,018119,45.113365,9.154658
Redavalle,018120,45.037446,9.203918
Retorbido,018121,44.9493,9.036174
Rivanazzano Terme,018122,44.930767,9.014159
Robbio,018123,45.289971,8.593278
Robecco Pavese,018124,45.048364,9.15016
Rocca de' Giorgi,018125,44.951562,9.253644
Rocca Susella,018126,44.919153,9.094131
Rognano,018127,45.288466,9.090248
Romagnese,018128,44.83948,9.330068
Roncaro,018129,45.228166,9.275453
Rosasco,018130,45.25106,8.578938
Rovescala,018131,45.011421,9.348753
San Cipriano Po,018133,45.108679,9.282905
San Damiano al Colle,018134,45.024862,9.346559
San Genesio ed Uniti,018135,45.234765,9.178551
San Giorgio di Lomellina,018136,45.174413,8.790098
San Martino Siccomario,018137,45.160963,9.135952
Sannazzaro de' Burgondi,018138,45.102259,8.906348
Santa Cristina e Bissone,018139,45.154392,9.418996
Santa Giuletta,018140,45.033836,9.181503
Sant'Alessio con Vialone,018141,45.224687,9.229855
Santa Margherita di Staffora,018142,44.76484,9.254617
Santa Maria della Versa,018143,44.986177,9.300198
Sant'Angelo Lomellina,018144,45.247061,8.644439
San Zenone al Po,018145,45.108564,9.361758
Sartirana Lomellina,018146,45.113845,8.664244
Scaldasole,018147,45.124984,8.909653
Semiana,018148,45.137475,8.729267
Silvano Pietra,018149,45.04037,8.947606
Siziano,018150,45.314367,9.20315
Sommo,018151,45.13065,9.083384
Spessa,018152,45.112728,9.34943
Stradella,018153,45.077356,9.295017
Suardi,018154,45.034656,8.742945
Torrazza Coste,018155,44.975948,9.087823
Torre Beretti e Castellaro,018156,45.075614,8.690528
Torre d'Arese,018157,45.242767,9.317354
Torre de' Negri,018158,45.149665,9.334556
Torre d'Isola,018159,45.217464,9.076149
Torrevecchia Pia,018160,45.283242,9.29665
Torricella Verzate,018161,45.017926,9.175582
Travacò Siccomario,018162,45.149067,9.159647
Trivolzio,018163,45.258464,9.042748
Tromello,018164,45.20913,8.871731
Trovo,018165,45.282965,9.035447
Val di Nizza,018166,44.870977,9.175823
Valeggio,018167,45.15066,8.859946
Valle Lomellina,018168,45.153058,8.668542
Valle Salimbene,018169,45.171612,9.234493
Varzi,018171,44.82354,9.196904
Velezzo Lomellina,018172,45.163359,8.737243
Vellezzo Bellini,018173,45.270665,9.099249
Verretto,018174,45.039234,9.108476
Verrua Po,018175,45.109649,9.17556
Vidigulfo,018176,45.292267,9.236651
Vigevano,018177,45.317094,8.858603
Villa Biscossi,018178,45.090658,8.787145
Villanova d'Ardenghi,018179,45.171662,9.042349
Villanterio,018180,45.219467,9.364356
Vistarino,018181,45.210766,9.308254
Voghera,018182,44.99284,9.008593
Volpara,018183,44.953036,9.297097
Zavattarello,018184,44.868476,9.26523
Zeccone,018185,45.257869,9.201144
Zeme,018186,45.197302,8.66592
Zenevredo,018187,45.054262,9.325658
Zerbo,018188,45.110464,9.396058
Zerbolò,018189,45.207166,9.012955
Zinasco,018190,45.112799,9.003176
Cornale e Bastida,018191,45.045405,8.912614
Corteolona e Genzone,018192,45.166777,9.364813
Colli Verdi,018193,44.916917,9.24869
Acquanegra Cremonese,019001,45.168436,9.890147
Agnadello,019002,45.444374,9.557056
Annicco,019003,45.244572,9.879466
Azzanello,019004,45.312869,9.921597
Bagnolo Cremasco,019005,45.361172,9.612958
Bonemerse,019006,45.11367,10.077473
Bordolano,019007,45.293985,9.98671
Calvatone,019009,45.128574,10.441281
Camisano,019010,45.443275,9.74576
Campagnola Cremasca,019011,45.398474,9.669459
Capergnanica,019012,45.337572,9.64336
Cappella Cantone,019013,45.246858,9.838366
Cappella de' Picenardi,019014,45.158573,10.229976
Capralba,019015,45.444075,9.643258
Casalbuttano ed Uniti,019016,45.245645,9.973919
Casale Cremasco-Vidolasco,019017,45.436968,9.720895
Casaletto Ceredano,019018,45.318071,9.617559
Casaletto di Sopra,019019,45.419175,9.782561
Casaletto Vaprio,019020,45.408174,9.628758
