comune_denominazione,comune_codice_istat,latitudine,longitudine
Nichelino,001164,44.995518,7.646618
Noasca,001165,45.453972,7.314554
Nole,001166,45.243991,7.572752
Nomaglio,001167,45.53616,7.860317
None,001168,44.933143,7.540121
Novalesa,001169,45.18964,7.015498
Oglianico,001170,45.342554,7.693717
Orbassano,001171,45.007263,7.536919
Orio Canavese,001172,45.329255,7.861721
Osasco,001173,44.849368,7.343243
Osasio,001174,44.871442,7.608024
Oulx,001175,45.033052,6.83251
Ozegna,001176,45.34929,7.742524
Palazzo Canavese,001177,45.459259,7.978921
Pancalieri,001178,44.833441,7.585924
Parella,001179,45.430657,7.793217
Pavarolo,001180,45.072466,7.834671
Pavone Canavese,001181,45.437559,7.851715
Pecetto Torinese,001183,45.016883,7.749949
Perosa Argentina,001184,44.95744,7.190914
Perosa Canavese,001185,45.397057,7.830819
Perrero,001186,44.918212,7.129109
Pertusio,001187,45.356788,7.638501
Pessinetto,001188,45.289093,7.404162
Pianezza,001189,45.105847,7.543418
Pinasca,001190,44.94264,7.229115
Pinerolo,001191,44.887309,7.331945
Pino Torinese,001192,45.039547,7.777125
Piobesi Torinese,001193,44.932943,7.610123
Piossasco,001194,44.990555,7.463704
Piscina,001195,44.919442,7.426212
Piverone,001196,45.446259,8.005722
Poirino,001197,44.920845,7.846928
Pomaretto,001198,44.955983,7.182779
Pont Canavese,001199,45.420526,7.596855
Porte,001200,44.887293,7.267971
Pragelato,001201,44.981486,6.93916
Prali,001202,44.881073,7.052439
Pralormo,001203,44.859744,7.901431
Pramollo,001204,44.905039,7.206508
Prarostino,001205,44.865792,7.268223
Prascorsano,001206,45.367754,7.616915
Pratiglione,001207,45.352753,7.596015
Quagliuzzo,001208,45.426757,7.781617
Quassolo,001209,45.52286,7.832317
Quincinetto,001210,45.56296,7.807315
Reano,001211,45.052056,7.430403
Ribordone,001212,45.43204,7.50195
Rivalba,001213,45.11835,7.888125
Rivalta di Torino,001214,45.034045,7.518419
Riva presso Chieri,001215,44.984974,7.872319
Rivara,001216,45.332553,7.632916
Rivarolo Canavese,001217,45.331216,7.717134
Rivarossa,001218,45.250965,7.717845
Rivoli,001219,45.069715,7.517676
Robassomero,001220,45.200049,7.568917
Rocca Canavese,001221,45.308854,7.575863
Roletto,001222,44.924691,7.331324
Romano Canavese,001223,45.388657,7.86652
Ronco Canavese,001224,45.499737,7.546855
Rondissone,001225,45.246854,7.963125
Rorà,001226,44.792136,7.199017
Roure,001227,45.001413,7.129432
Rosta,001228,45.067945,7.465117
Rubiana,001229,45.137946,7.38483
Rueglio,001230,45.468258,7.754616
Salassa,001231,45.358526,7.689238
Salbertrand,001232,45.07204,6.883205
Salerano Canavese,001233,45.458058,7.851118
Salza di Pinerolo,001234,44.934635,7.034467
Samone,001235,45.450554,7.845243
San Benigno Canavese,001236,45.227052,7.785021
San Carlo Canavese,001237,45.247826,7.610843
San Colombano Belmonte,001238,45.382254,7.621015
San Didero,001239,45.135444,7.213011
San Francesco al Campo,001240,45.226467,7.657164
Sangano,001241,45.026144,7.448118
San Germano Chisone,001242,44.89855,7.241175
San Gillio,001243,45.142748,7.535817
San Giorgio Canavese,001244,45.334155,7.796819
San Giorio di Susa,001245,45.127982,7.177985
San Giusto Canavese,001246,45.315154,7.80912
San Martino Canavese,001247,45.39435,7.816559
San Maurizio Canavese,001248,45.216676,7.631241
San Mauro Torinese,001249,45.104412,7.761996
San Pietro Val Lemina,001250,44.90654,7.310917
San Ponso,001251,45.350754,7.670316
San Raffaele Cimena,001252,45.146651,7.849324
San Sebastiano da Po,001253,45.167552,7.957226
San Secondo di Pinerolo,001254,44.867222,7.298167
Sant'Ambrogio di Torino,001255,45.099445,7.362315
Sant'Antonino di Susa,001256,45.107044,7.273613
Santena,001257,44.949111,7.771811
Sauze di Cesana,001258,44.940736,6.859007
Sauze d'Oulx,001259,45.027027,6.858346
Scalenghe,001260,44.891741,7.492521
Scarmagno,001261,45.384456,7.841119
Sciolze,001262,45.09325,7.880426
Sestriere,001263,44.958453,6.878686
Settimo Rottaro,001264,45.407758,7.993522
Settimo Torinese,001265,45.137335,7.771015
Settimo Vittone,001266,45.54976,7.832216
Sparone,001267,45.413854,7.543412
Strambinello,001268,45.422696,7.768436
Strambino,001269,45.381457,7.88572
Susa,001270,45.137212,7.053979
Tavagnasco,001271,45.543965,7.822041
Torino,001272,45.067755,7.682489
Torrazza Piemonte,001273,45.215422,7.974503
Torre Canavese,001274,45.392056,7.759818
Torre Pellice,001275,44.820768,7.223715
Trana,001276,45.039044,7.421817
Traversella,001278,45.508458,7.749415
Traves,001279,45.270612,7.428858
Trofarello,001280,44.983646,7.745225
Usseaux,001281,45.048941,7.028508
Usseglio,001282,45.233197,7.217735
Vaie,001283,45.102344,7.289413
Val della Torre,001284,45.155147,7.445015
Valgioie,001285,45.076144,7.340715
Vallo Torinese,001286,45.224745,7.495566
Valperga,001287,45.370616,7.656916
Valprato Soana,001288,45.521481,7.549355
Varisella,001289,45.209941,7.488606
Vauda Canavese,001290,45.279952,7.620217
Venaus,001291,45.15491,7.01257
Venaria Reale,001292,45.134811,7.626866
Verolengo,001293,45.190053,7.968226
Verrua Savoia,001294,45.156707,8.092761
Vestignè,001295,45.385757,7.954822
Vialfrè,001296,45.381019,7.817828
Vidracco,001298,45.430657,7.757417
Vigone,001299,44.843067,7.494438
Villafranca Piemonte,001300,44.778939,7.500424
Villanova Canavese,001301,45.242575,7.554506
Villarbasse,001302,45.045145,7.468418
Villar Dora,001303,45.114646,7.383515
Villareggia,001304,45.310056,7.976624
Villar Focchiardo,001305,45.111389,7.224725
Villar Pellice,001306,44.807903,7.15758
Villar Perosa,001307,44.919056,7.250286
Villastellone,001308,44.918612,7.744347
Vinovo,001309,44.94839,7.633929
Virle Piemonte,001310,44.864541,7.570123
Vische,001311,45.335589,7.944818
Vistrorio,001312,45.442344,7.768145
Viù,001313,45.23916,7.37584
Volpiano,001314,45.201451,7.778222
Volvera,001315,44.956464,7.511052
Mappano,001316,45.147801,7.706099
Val di Chy,001317,45.461125,7.79283
Valchiusa,001318,45.497263,7.741327
Alagna Valsesia,002002,45.851211,7.937177
Albano Vercellese,002003,45.425307,8.380994
Alice Castello,002004,45.365158,8.072925
Arborio,002006,45.494964,8.385329
Asigliano Vercellese,002007,45.261578,8.408501
Balmuccia,002008,45.818849,8.138102
Balocco,002009,45.455262,8.280128
