pro_com_t,cf
003012,80000370033
003016,00190090035
003018,00310870035
003019,82000510030
003021,00429660038
003022,00426150033
003023,94042030034
003024,82001370038
003025,80009810039
003026,00426130035
003027,80005410032
003030,00304840036
003032,00141730036
003036,80005390036
003037,00318060035
003039,00415080035
003040,00467290037
003041,80001330036
003042,00415060037
003043,00212680037
003044,00288390032
003045,00288380033
003047,82000490035
003049,00199730037
003051,00433330032
003052,00454580036
003055,00379480031
003058,00460910037
003060,00415310036
003062,81004000030
003065,00429030034
003066,00460900038
003068,00184500031
003069,00423600030
003070,00397470030
003073,00167670033
003076,00417290038
003077,80013960036
003079,00177080033
003082,00415950039
003083,80001370032
003084,00439190034
003088,82000330033
003090,80005350030
003091,00280280033
003093,81000410035
003095,00440750032
003097,80009210032
003098,00452160039
003100,00265210039
003103,00433340031
003104,00417260031
003106,00125680033
003108,00165200031
003109,00165190034
003112,00422690032
003114,00427950035
003115,00421670035
003116,00430240036
003119,00433320033
003120,00435560032
003121,00315110031
003122,82002530036
003129,80015980032
003130,00270950033
003131,00225920032
003133,00344700034
003134,00364600031
003135,00415190032
003138,80005290038
003139,80001390030
003140,82001670031
003141,80005250032
003143,00419850037
003144,00545720039
003146,80001410036
003149,80005270030
003153,00383120037
003154,00366270031
003158,00433300035
003159,00437100035
003164,80001470030
003166,02581850035
004001,00481380046
004002,80003250042
004003,00184260040
004004,00487760043
004005,00399150044
004006,80003430040
004007,00564900041
004008,00508220043
004009,00486530041
004010,81000370049
004011,00417680048
004012,00398040048
004013,00420860041
004014,84001390040
004015,00541410049
004016,00395900046
004017,00534820048
004018,00523920049
004019,83000590048
004020,00490200045
004021,00511030041
004022,00479150047
004023,00485690044
004024,00468950043
004025,00449510049
004026,00468290044
004027,00452590045
004028,00475080040
004029,00493130041
004030,00417530045
004031,00553180043
004032,85002530047
004033,00523760049
004034,80003910041
004035,00482410040
004037,00412270043
004038,00506090042
004039,00495600041
004040,00468880042
004041,86001010049
004042,85002490044
004043,00335810040
004044,00513830042
004045,86001710044
004046,00307380048
004047,00524040045
004049,00505720045
004050,00430250043
004051,00301260048
004052,02852600044
004053,00478910045
004054,00469730048
004055,00520690041
004056,00308040047
004057,00468930045
004058,86001790046
004059,00330720046
004060,00478050040
004061,83000410049
004062,00478640048
004063,00499500049
004064,00527900047
004065,00248390049
004066,00480720044
004067,82000550044
004068,00563200047
004069,84005310044
004070,00476920046
004071,00510710049
004072,00324510049
004073,00291520047
004074,00404230047
004075,00426640041
004076,00553920042
004077,85000690041
004078,00480530047
004079,80001930041
004080,00436130041
004081,00461570046
004082,00183100049
004083,80004570042
004084,00507800043
004085,00503880049
004086,00523900041
004087,85001290049
004088,00553940040
004089,02878420047
004090,00519730048
004091,00506410042
004092,00517740049
004093,80003070044
004094,85002170042
004095,00351910047
004096,00464700046
004097,00478760044
004098,00428660047
004099,00353740046
004100,00467800041
004101,00523870046
004102,02886900048
004103,00498630045
004104,85000750043
004105,82002710042
004106,00512950049
004107,00508770047
004108,00508850047
004109,00494580046
004110,80003770049
004111,00507000040
004112,00478030042
004113,00414390047
004114,00454320045
004115,00554450049
004116,85001810044
004117,86000750041
004118,00495340044
004119,00483290045
004120,00521560045
004121,85000410044
004122,00462360041
004123,80003010040
004124,00365040047
004125,00523240042
004126,00525330049
004127,00460700040
004128,00489010041
004129,00506640044
004130,00248770042
004131,00444200042
004132,00514020049
004133,00307390047
004134,00525350047
004135,00518530043
004136,00505700047
004137,81000830042
004138,80004730042
004139,80004770048
004140,81000510040
004141,00474720042
004142,00485040042
004143,85001650044
004144,00511010043
004145,84003470048
004146,86001850048
004147,00507060044
004148,00307790048
004149,00511050049
004150,00404550048
004151,84005330042
004152,00520260043
004153,00510590045
004154,85001670042
004155,00514250042
004156,00453120040
004157,85001190041
004158,85002550045
004159,00468840046
004160,00480700046
004161,00441130044
004162,00515610046
004163,00259030047
004164,00430240044
004165,00469060040
004166,85000470048
004167,80002350041
004168,00318930047
004169,00522250042
004170,82000970044
004171,85000970047
004172,00523830040
004173,00521420042
004174,00481360048
004175,00469710040
004176,00416320042
004177,00358940047
004178,00494600042
004179,00473170041
004180,00395930043
004181,85000390048
004182,80001890047
004183,80003830041
004184,00551910045
004185,80002410043
004186,00468820048
004187,80003950047
004188,00844540047
004189,00454560046
004190,00478600042
004191,80001110040
004192,00468120043
004193,00338460041
004194,00520220047
004195,00520380049
004196,81000850040
004197,85000270042
004198,85001410043
004199,00475290045
004200,00518550041
004201,00428680045
004202,00367410040
004203,00244360046
004204,80003270040
004205,00253640049
004206,00485020044
004207,00521810044
004208,82000790046
004209,85002210046
004210,00460690043
004211,00357850049
004212,00428090047
004213,00364170043
004214,81000550046
004215,00215880048
004216,00541470043
004217,85002050046
004218,00520360041
004219,00477170047
004220,00520630047
004221,00461560047
004222,00402100044
004223,82001660040
004224,00478010044
004225,80001850041
004226,00511190043
004227,00474750049
004228,85001350041
004229,00905630042
004230,00421150046
004231,00487740045
004232,00367390044
004233,00464650043
004234,80004750040
004235,00508910049
004237,85001090043
004238,82002690046
004239,00457660041
004240,85000850041
004241,00517640041
004242,00410380042
004243,00349960047
004244,00466960044
004245,00469040042
004246,85001890046
004247,80004110047
004248,80002200048
004249,00539480046
004250,83001130042
005001,82000250058
005002,00180780058
005003,00167320050
005004,80002990051
005005,00072360050
005006,80003010057
005007,80003030055
005008,82000270056
005009,92035370052
005010,82003610050
005011,00192220051
005012,80003070051
005013,00192130052
005014,80003200054
005015,00195710058
005016,80003090059
005017,00084540053
005018,80003110055
005019,80003130053
005020,80003150051
005021,00192230050
005022,00162010052
005023,80003080050
005024,00192150050
005025,80003170059
005026,80003190057
005027,82000090058
005028,92001530051
005029,00912840055
005030,82000110054
005031,80003210053
005032,00192140051
005033,80003230051
005034,80007280052
005035,80003250059
005036,00729340059
005037,00191920057
005038,80003290055
005039,80003310051
005040,80003330059
005041,00186130050
005042,80005260056
005044,80003370055
005045,80004200053
005046,80003390053
005047,80003410059
005048,00184820058
005049,80003430057
005050,80003450055
005051,01219410055
005052,80003490051
005053,80003510056
005054,82000070050
005055,80003530054
005056,80003550052
005057,80003570050
005058,82002310058
005059,80003590058
005060,00191880053
005061,82002490058
005062,80005600053
005063,00190310052
005064,00207360058
005065,00182890053
005066,00206070054
005067,00085950053
005068,00189710056
005069,80003610054
005070,00131300055
005071,80003650050
005072,00209680057
005073,00122310055
005074,82002290052
005075,80003690056
005076,82000150050
005077,80003710052
005079,80005300050
005080,00173660051
005081,00182610055
005082,80003750058
005083,80003180058
005084,80003770056
005085,00201720059
005086,01219640057
005087,00086020054
005088,82000350056
005089,80003810050
005090,00131050056
005091,80005620051
005092,80003850056
005093,00095370052
005094,00182620054
005095,00209670058
005096,00155620057
005097,00086030053
005098,00191930056
005099,80003890052
005100,00190300053
005101,80003910058
005103,01219550058
005104,00207350059
005105,00189590052
005106,80003950054
005107,80003970052
005108,80003990050
005109,80006380051
005110,80005280054
005111,82002530051
005112,00091920058
005113,00191060052
005114,80004030054
005115,80004050052
005116,80004070050
005117,80004110054
005118,80004090058
005119,80004130052
005120,00206060055
005121,01209800059
006001,00430560060
006002,83003990062
006003,00429440068
006004,00456230069
006005,81002590065
006007,00452550064
006008,00377080064
006009,00274600063
006010,00433810066
006011,00450010061
006012,00433600061
006013,00377090063
006014,00382120061
006015,00431930064
006016,85000230061
006017,00469220065
006018,00443410063
006019,00433100062
006020,82001170065
006021,00366320067
006022,00368260063
006023,00459290060
006024,00437920069
006025,83000730065
006026,00451490064
006027,00375490067
006028,83000750063
006029,00415700061
006030,00465350064
006031,00454750068
006032,00412460065
006033,00412310062
006034,92003030068
006035,83000350062
006036,00455640060
006037,00365230069
006038,00437960065
006039,00172340069
006040,00435090063
006041,85002370063
006043,00229010061
006044,00450080064
006045,00495770067
006046,00457850063
006047,00190020065
006048,00469230064
006049,00162850069
006050,00456220060
006051,00433950060
006052,00441090065
006053,00371880063
006054,00356270066
006055,00463560060
006056,00467190062
006057,00444830061
006058,00465330066
006059,82003120068
006060,00449070069
006061,00451640064
006062,00460490063
006063,00385230065
006065,00443980065
006066,85000870064
006067,85000850066
006068,00452900061
006069,00405650060
006070,00412910069
006071,00433110061
006072,00452370067
006073,82001150067
006074,80009680069
006075,00368540068
006076,00501240063
006077,00449090067
006078,00470430067
006079,00433800067
006081,00367950060
006082,82000950061
006083,00437910060
006084,00445950066
006085,83000970067
006086,85002530062
006087,85002550060
006088,00357340066
006090,81002990067
006091,00389910068
006092,00434300067
006093,81001550060
006094,00457230068
006095,00450070065
006096,00443150065
006097,00450140066
006098,00498460062
006099,00449110063
006100,83005650060
006101,00435100060
006102,85000890062
006103,00413650060
006104,00412320061
006105,00334680063
006106,00444150064
006107,00460500069
006108,00460510068
006109,00451080063
006110,00447460064
006111,00458370061
006112,00385220066
006113,82003310065
006114,00160310066
006115,00485900062
006116,82007860065
006117,00447810060
006118,00453320061
006119,00385210067
006120,00452540065
006121,00400810065
006122,00412140063
006123,00452830060
006124,00444590061
006125,00460570062
006126,00383990066
006127,00464350065
006128,00368630067
006129,00368620068
006131,00459300067
006132,00374620060
006133,00449050061
006134,00459630067
006135,00444840060
006136,00414550061
006137,00502410061
006138,00251200069
006139,00413170069
006140,00389860065
006141,80005530060
006142,00451590061
006143,00474770062
006144,00415510064
006145,00377100060
006146,83003030067
006147,84000410062
006148,01129110068
006149,00467180063
006150,00444850069
006151,00409960069
006152,00377050067
006153,00458150067
006154,80005590064
006155,00438190068
006156,00397680067
006157,00469790067
006158,00433920063
006159,00451070064
006160,00211750062
006161,00420540064
006162,00412070062
006163,00411440068
006164,00450150065
006165,00405270067
006166,00444580062
006167,00465090066
006168,00432270064
006169,00382110062
006170,00391820065
006171,00458160066
006172,00432280063
006173,00444820062
006174,00384600060
006175,00452610066
006176,00385200068
006177,00314770066
006178,00440810067
006179,00452360068
006180,92007180067
