pro_com_t,<5,>=5,totale
001316,276,7078,7354
001317,30,1206,1236
001318,20,967,987
002002,34,691,725
002003,13,296,309
002004,73,2433,2506
002006,30,814,844
002007,39,1350,1389
002008,9,108,117
002009,7,213,220
002011,62,1786,1848
002014,5,155,160
002015,68,2192,2260
002016,316,11934,12250
002017,89,2139,2228
002021,27,810,837
002025,14,200,214
002029,0,73,73
002030,35,1004,1039
002031,39,1057,1096
002032,21,745,766
002033,5,218,223
002035,2,290,292
002041,0,52,52
002042,131,4152,4283
002043,5,234,239
002045,1,85,86
002047,23,725,748
002048,6,246,252
002049,232,7379,7611
002052,10,384,394
002054,47,1014,1061
002057,1,184,185
002058,25,1054,1079
002059,26,469,495
002061,220,7352,7572
002062,28,786,814
002065,8,332,340
002066,8,331,339
002067,19,490,509
002068,23,774,797
002070,12,514,526
002071,153,4030,4183
002072,25,775,800
002078,5,90,95
002079,41,1339,1380
002082,17,721,738
002088,29,754,783
002089,5,208,213
002090,28,1070,1098
002091,5,267,272
002093,40,1226,1266
002096,1,137,138
002097,5,181,186
002102,13,558,571
002104,29,690,719
002107,87,3791,3878
002108,15,380,395
002110,1,66,67
002113,3,125,128
002115,9,417,426
002116,57,2226,2283
002118,15,529,544
002121,7,176,183
002122,27,885,912
002126,9,192,201
002127,2,96,98
002128,109,3683,3792
002131,56,1418,1474
002133,260,7862,8122
002134,11,362,373
002135,13,353,366
002137,129,4588,4717
002142,42,1136,1178
002147,16,656,672
002148,218,6553,6771
002150,119,3264,3383
002152,41,1841,1882
002156,194,6737,6931
002158,1790,43635,45425
002163,4,394,398
002164,49,1468,1517
002166,7,151,158
002170,2,147,149
002171,25,916,941
003001,34,1517,1551
003002,31,853,884
003006,56,2046,2102
003008,425,13371,13796
003012,14,733,747
003016,414,9041,9455
003018,67,1261,1328
003019,21,1108,1129
003021,53,1240,1293
003022,39,1118,1157
003023,64,1903,1967
003024,775,20608,21383
003025,222,4937,5159
003026,60,2741,2801
003027,38,1049,1087
003030,80,2424,2504
003032,360,10348,10708
003036,91,2372,2463
003037,42,939,981
003039,29,876,905
003040,52,1474,1526
003041,41,831,872
003042,10,308,318
003043,363,9457,9820
003044,6,380,386
003045,45,1127,1172
003047,52,1250,1302
003049,277,6368,6645
003051,21,493,514
003052,34,1188,1222
003055,56,1563,1619
003058,97,2490,2587
003060,45,1355,1400
003062,78,2483,2561
003065,63,1914,1977
003066,80,2499,2579
003068,690,14826,15516
003069,64,1336,1400
003070,57,1693,1750
003073,104,3269,3373
003076,146,5257,5403
003077,46,1290,1336
003079,118,4189,4307
003082,136,4161,4297
003083,8,538,546
003084,60,2105,2165
003088,53,1548,1601
003090,7,217,224
003091,47,1539,1586
